"0,2-HCore","1,2-HCore","3,2-HCore","4,2-HCore","5,2-HCore"
1599,108,9,27,19
1599,108,6,9,0
1599,108,18,135,380
1599,108,6,12,0
1599,108,9,27,19
1599,108,42,1039,10324
1599,108,6,9,0
1599,108,12,54,76
1599,108,27,392,2256
1599,108,6,9,0
1599,108,3,0,0
1599,108,42,1475,19770
1599,108,42,1393,17848
1599,108,9,27,19
1599,108,33,887,7152
1599,108,6,9,0
1599,108,6,9,0
1599,108,12,54,76
1599,108,21,189,691
1599,108,33,721,5203
1599,108,42,1378,16718
1599,108,21,261,1136
1044,84,0,0,0
1039,59,18,135,380
1008,17,12,54,76
1039,33,18,172,521
1039,53,18,158,430
1039,38,18,172,521
1008,21,15,90,190
1017,27,18,161,481
1039,59,12,54,76
1233,80,12,54,76
1008,10,6,9,0
1008,5,3,0,0
1008,13,3,0,0
1039,50,19,163,486
1008,12,3,0,0
1233,80,19,157,432
1008,24,15,90,190
1039,38,19,157,432
1008,20,12,54,76
1039,42,19,163,486
1039,59,42,1041,10643
1033,36,21,189,665
1039,43,42,1196,14316
1039,50,42,1195,14072
1039,43,42,1019,10586
1039,42,36,660,5434
1039,53,42,867,7680
1039,43,42,1063,11438
1039,42,39,832,7277
1039,42,36,594,4180
1037,37,30,405,2280
1021,32,12,59,82
1233,80,42,1240,15170
1027,36,21,189,665
1039,41,34,705,5597
1021,32,12,59,82
1044,84,42,1191,14351
1039,43,42,934,9414
1034,37,27,382,2114
1017,30,3,0,0
1039,43,42,1202,14719
1039,43,42,1234,15208
1033,36,21,195,671
1039,43,42,1131,13282
1008,24,9,27,19
1233,80,9,27,19
1044,84,9,27,19
1007,3,3,0,0
1008,6,3,0,0
1044,84,6,9,0
1008,13,6,9,0
1039,59,33,733,5675
1039,59,18,166,556
1039,59,21,280,1338
1039,59,42,1132,12831
1039,59,21,201,812
1044,59,42,1415,16004
1039,59,33,861,7306
1039,59,21,237,988
1039,59,33,765,6227
1039,59,42,1058,11093
1039,59,37,972,9454
1044,59,42,1394,16318
1039,59,12,93,175
1039,59,42,1292,15457
1039,59,18,135,380
1039,59,18,135,380
1039,59,6,9,0
1039,59,39,774,6270
1039,59,18,172,562
1044,59,33,996,8855
1039,59,21,229,873
1039,59,30,501,2971
1039,59,18,135,380
1039,59,24,319,1602
1039,59,18,135,404
1039,59,21,199,805
1039,59,12,54,76
1233,80,42,1962,22765
1039,59,21,189,665
1039,59,9,27,19
1039,59,34,736,5849
1044,84,42,1940,22301
1039,59,21,201,991
1039,59,21,201,878
1039,59,6,9,0
1039,59,21,201,991
1039,59,18,135,380
1039,59,42,1202,14385
1039,59,21,201,878
1039,59,42,1127,12621
1039,59,33,762,5906
1039,59,21,189,665
1039,59,6,9,0
1039,59,33,696,5087
1039,59,42,1075,11188
1039,59,21,256,1106
1044,84,3,0,0
1039,50,30,510,3205
1039,38,33,699,5125
1039,38,33,683,5112
1039,38,27,380,1988
1039,53,33,721,5300
1039,42,33,713,5435
1039,38,30,405,2280
1039,40,33,755,5858
1039,31,21,224,844
1039,31,18,135,380
1233,80,33,770,6011
1044,84,33,709,5188
1033,26,10,43,36
1039,41,33,787,6191
1033,25,12,54,76
1039,38,33,604,4159
1039,31,21,261,1136
1008,22,9,27,19
1039,50,18,167,583
1008,21,18,135,380
1233,80,18,166,556
1044,84,18,166,556
1008,15,12,54,76
1029,28,18,147,419
1039,30,12,54,76
1039,53,12,54,76
1039,35,12,54,76
1039,50,21,280,1338
1008,23,21,189,665
1029,33,21,189,665
1008,22,21,189,665
1233,80,21,280,1338
1044,84,21,280,1338
1039,38,21,227,934
1039,50,42,1318,16391
1039,42,21,227,934
1039,43,42,1133,13126
1039,42,36,632,4649
1039,42,37,840,7558
1039,53,42,983,9606
1039,43,42,1131,12588
1039,42,18,190,658
1039,42,6,9,0
1039,42,33,555,3699
1039,42,39,933,9049
1039,42,6,9,0
1039,42,30,486,2874
1039,42,36,614,4335
1039,42,18,223,836
1039,42,12,54,76
1039,42,9,27,19
1039,42,30,455,2790
1233,80,42,1429,18377
1039,42,21,189,665
1039,42,21,245,1082
1039,42,12,54,76
1039,42,21,189,665
1044,84,42,1351,17161
1039,43,42,927,8900
1039,42,27,392,2256
1039,40,3,0,0
1039,43,42,1344,17363
1039,43,42,1255,15800
1039,42,21,189,665
1039,43,42,1306,16046
1233,80,21,201,812
1044,84,21,201,812
1008,22,21,201,812
1008,22,21,189,665
1008,22,21,201,812
1008,22,21,189,665
1039,50,15,90,190
1039,50,10,43,36
1039,50,21,237,988
1039,50,30,493,2932
1039,50,42,1071,11460
1039,50,36,660,5434
1039,50,37,840,7224
1039,50,42,1179,13060
1039,50,18,190,658
1039,50,33,575,3945
1039,50,39,919,8899
1039,50,7,16,0
1039,50,30,695,4783
1039,50,21,223,844
1039,50,36,614,4335
1039,50,24,312,1490
1039,50,18,135,380
1039,50,9,27,19
1039,50,21,199,805
1039,50,6,9,0
1039,50,30,455,2790
1233,80,42,1787,21566
1039,50,21,189,665
1039,50,34,705,5608
1044,84,42,1693,20497
1039,50,10,43,36
1039,50,18,135,380
1039,50,42,951,9659
1039,50,12,54,76
1039,50,27,391,2195
1039,50,42,1315,16593
1039,50,42,1266,15602
1039,50,30,558,3527
1039,50,30,493,2883
1039,50,42,1198,14070
1039,50,21,223,844
1039,38,15,90,190
1233,80,15,90,190
1044,84,15,90,190
1008,10,0,0,0
1008,14,6,9,0
1008,16,6,9,0
1008,10,6,9,0
1233,80,12,56,76
1044,84,12,56,76
1039,42,12,56,76
1008,22,12,71,123
1008,20,12,54,76
1044,84,12,71,123
1039,38,12,54,76
1039,53,9,27,19
1233,80,9,27,19
1007,0,0,0,0
1044,84,3,0,0
1027,33,21,189,665
1039,42,21,227,934
1008,23,21,189,665
1039,39,21,227,934
1039,42,21,227,934
1008,8,6,9,0
1008,6,6,9,0
1044,84,6,9,0
1039,38,33,733,5822
1039,38,27,469,2644
1039,53,33,918,8084
1039,42,33,770,6183
1039,33,18,172,562
1039,38,30,473,2808
1039,43,33,832,6666
1039,33,18,179,580
1039,38,30,577,3628
1233,80,33,870,7669
1039,38,25,385,1962
1044,84,33,829,6539
1039,39,26,517,3108
1039,38,25,395,2012
1039,38,33,699,5125
1039,38,33,564,3803
1044,84,10,43,36
1008,12,9,27,19
1039,38,18,135,380
1011,23,18,135,380
1008,22,21,189,665
1233,80,21,237,988
1044,84,21,237,988
1039,53,33,776,6191
1039,42,33,813,6978
1031,24,9,27,19
1039,38,30,473,2808
1039,38,33,740,5961
1039,38,30,533,3329
1233,80,33,820,6978
1044,84,33,721,5389
1039,39,25,417,2237
1039,38,33,683,5112
1039,38,33,609,4437
1039,42,37,781,6498
1039,53,42,959,9273
1039,43,42,1034,10341
1033,33,18,135,380
1039,42,36,594,4180
1032,33,18,172,562
1233,80,42,1179,13773
1017,26,0,0,0
1044,84,42,1158,13561
1039,43,42,863,7321
1017,27,3,0,0
1039,43,42,1118,12916
1039,43,42,1063,11649
1039,38,25,347,1602
1033,34,21,189,665
1039,43,42,1101,12075
1044,84,3,0,0
1039,42,3,0,0
1008,25,15,90,190
1233,80,36,655,5069
1035,38,33,495,3135
1044,84,36,655,4997
1012,32,27,324,1596
1039,42,36,665,5515
1039,42,36,655,4997
1039,42,36,632,4649
1008,15,9,27,19
1233,80,9,27,19
1008,9,9,27,19
1039,42,9,27,19
1039,53,36,838,6988
1011,25,6,9,0
1039,40,33,495,3135
1039,40,30,549,3496
1233,80,37,985,9454
1044,84,37,977,9454
1039,42,37,838,7418
1039,42,37,819,6661
1039,38,27,425,2350
1013,25,6,9,0
1039,53,42,1176,12955
1039,53,9,27,19
1039,53,18,172,562
1039,53,9,27,19
1039,53,30,473,2808
1039,53,33,980,8395
1039,53,9,32,24
1039,53,3,0,0
1039,53,18,163,486
1039,53,30,555,3487
1039,53,18,135,380
1039,53,24,262,1071
1039,53,9,27,19
1039,53,12,54,76
1233,80,42,1429,16701
1039,53,33,685,4826
1044,84,42,1333,15249
1039,53,6,9,0
1039,53,9,27,19
1039,53,6,9,0
1039,53,6,12,0
1039,52,0,0,0
1039,53,9,27,19
1039,53,6,9,0
1039,53,42,1058,11086
1039,53,42,964,9341
1039,53,9,27,19
1039,53,33,754,5574
1039,53,33,591,4051
1039,53,42,903,8173
1039,53,21,189,665
1039,42,12,54,76
1008,18,12,54,76
1008,17,12,54,76
1044,84,12,93,175
1039,42,39,788,6660
1039,42,30,501,2975
1039,42,33,868,7478
1039,42,18,152,475
1039,42,30,533,3329
1039,42,9,27,19
1039,42,24,303,1450
1233,80,42,1428,17798
1039,42,21,245,1082
1039,42,18,155,535
1039,42,9,27,19
1039,42,12,54,76
1044,84,42,1354,16430
1039,42,6,9,0
1039,43,42,935,8802
1039,42,27,347,1754
1039,43,42,1182,13283
1039,43,42,1087,11597
1039,42,33,762,5847
1039,42,6,9,0
1039,42,33,649,4768
1039,43,42,1121,12450
1039,42,21,232,939
1233,80,15,114,292
1027,29,15,90,190
1039,39,15,114,292
1008,9,3,0,0
1008,10,9,27,19
1007,0,0,0,0
