"0,2-HhIndex","1,2-HhIndex","3,2-HhIndex","4,2-HhIndex","5,2-HhIndex"
1327,53,27,167,282
1298,54,36,285,570
1243,46,35,228,429
1535,86,10,27,27
1021,12,9,18,19
1310,41,18,63,83
1067,25,18,63,83
1046,23,21,84,119
1637,83,21,120,175
1541,86,21,120,175
1401,64,39,333,680
1342,60,39,365,763
1129,24,9,18,19
1180,44,31,192,340
1391,55,39,324,647
1195,44,33,219,395
1679,86,39,365,763
1579,88,38,309,602
1336,53,27,180,299
1281,51,36,288,561
1215,45,36,258,495
1212,52,39,327,679
1387,62,44,405,904
1330,60,47,414,967
1130,35,18,63,83
1164,45,36,234,454
1131,38,19,81,111
1659,89,48,528,1268
1118,26,0,0,0
1565,88,49,528,1268
1220,51,42,328,727
1119,27,3,0,0
1322,60,48,513,1217
1295,60,47,474,1114
1268,46,27,150,235
1131,37,21,84,119
1283,61,47,471,1100
1532,84,3,0,0
1185,42,3,0,0
1068,26,15,45,55
1646,84,38,267,532
1129,41,33,198,363
1546,86,37,267,532
1087,33,27,135,219
1276,53,38,294,587
1238,52,36,267,532
1228,54,36,261,509
1024,16,9,18,19
1630,80,9,18,19
1009,9,9,18,19
1186,43,9,18,19
1376,60,39,367,757
1098,26,6,9,0
1174,45,33,198,363
1370,51,33,240,427
1655,86,45,440,986
1559,88,45,441,986
1310,57,41,361,767
1280,55,39,331,696
1252,46,30,183,308
1100,25,6,9,0
1451,73,48,549,1318
1312,53,9,18,19
1319,56,18,81,111
1313,54,9,18,19
1347,58,31,192,340
1485,71,41,416,862
1315,54,9,27,19
1310,53,3,0,0
1320,56,18,78,104
1361,58,33,224,422
1320,56,18,63,83
1340,58,24,108,164
1312,53,9,18,19
1316,55,12,30,34
1721,94,51,630,1604
1368,60,35,278,552
1629,94,51,594,1463
1313,54,6,9,0
1315,54,9,18,19
1311,54,6,9,0
1314,53,6,9,0
1310,52,0,0,0
1313,53,9,21,19
1311,53,6,9,0
1450,67,45,474,1111
1433,66,45,408,911
1312,53,9,18,19
1416,62,37,306,594
1374,61,35,241,465
1426,66,42,360,812
1329,56,21,84,119
1245,45,12,30,34
1042,19,12,30,34
1028,18,12,30,34
1538,86,13,54,64
1293,56,41,312,664
1278,52,32,201,368
1443,66,42,403,810
1249,46,18,78,104
1291,52,33,219,395
1240,43,9,18,19
1273,49,25,132,209
1694,92,56,657,1695
1245,46,21,123,183
1250,45,18,81,111
1238,42,9,18,19
1239,43,12,30,34
1603,92,54,621,1547
1238,43,6,9,0
1321,58,43,385,858
1255,49,27,146,247
1400,67,49,497,1233
1377,63,48,455,1082
1361,58,39,323,641
1236,42,6,9,0
1308,55,36,269,539
1369,65,47,450,1143
1256,46,21,105,155
1630,80,15,60,76
1107,33,15,45,55
1239,43,15,60,76
1014,9,3,0,0
1011,10,9,18,19
1007,0,0,0,0
1025,18,10,27,27
1023,9,0,0,0
1634,83,18,65,84
1540,86,18,63,83
1197,46,18,71,89
1068,27,15,45,55
1068,27,18,63,83
1633,81,19,95,132
1246,45,19,95,132
1630,81,6,9,0
1532,84,6,9,0
1186,44,6,9,0
1186,44,6,9,0
1122,40,33,225,418
1091,31,21,84,129
1082,34,27,135,219
1646,84,33,242,469
1546,86,34,215,399
1275,52,33,207,378
1233,51,33,225,418
1223,52,33,215,399
1094,32,18,63,83
1105,38,30,192,340
1649,85,42,405,896
1552,88,42,378,820
1181,47,39,303,640
1289,55,42,378,820
1256,54,42,405,896
1249,56,41,345,757
1085,24,6,9,0
1014,9,3,0,0
1532,84,3,0,0
1007,3,3,0,0
1300,41,18,63,83
1093,30,18,81,111
1535,85,18,81,111
1205,41,18,63,83
1057,22,12,30,34
1630,81,12,30,34
1533,85,12,30,34
1238,41,12,30,34
1198,39,12,30,34
1333,49,31,192,340
1112,38,27,135,219
1648,82,32,201,368
1149,38,18,63,83
1201,45,30,174,313
1304,41,15,45,55
1309,41,19,92,125
1303,41,15,45,55
1347,49,33,225,441
1303,42,18,63,83
1723,89,45,450,987
1357,49,27,170,273
1626,90,42,402,841
1292,32,0,0,0
1297,35,9,18,19
1403,63,38,320,638
1366,50,36,258,495
1641,83,21,84,119
1544,86,21,108,157
1036,18,9,18,19
1184,36,21,89,125
1056,23,18,63,83
1023,11,6,9,0
1634,82,18,78,104
1033,20,18,63,83
1207,43,18,63,83
1090,27,17,60,76
1541,86,18,78,104
1176,35,18,63,83
1631,81,9,18,19
1188,44,10,27,27
1645,84,36,238,475
1546,86,36,234,454
1272,53,36,238,475
1231,52,36,234,454
1221,54,36,234,454
1011,7,3,0,0
1632,81,21,108,160
1024,16,9,18,19
1119,37,18,81,111
1199,46,21,99,139
1653,84,33,219,395
1556,86,30,173,304
1149,38,30,165,285
1634,82,18,63,83
1538,86,18,63,83
1534,86,9,27,21
1630,82,6,9,0
1532,86,6,9,0
1645,84,27,170,273
1545,86,27,170,273
1047,19,9,18,19
1047,18,6,9,0
1045,16,3,0,0
1219,49,27,153,245
1636,83,18,63,83
1540,86,18,70,93
1099,29,18,63,83
1010,9,9,18,19
1009,9,9,18,19
1023,11,6,9,0
1016,8,6,9,0
1535,86,12,30,34
1014,9,3,0,0
1188,44,12,30,34
1009,7,3,0,0
1637,83,21,102,147
1540,86,21,102,147
1630,81,6,9,0
1532,84,6,9,0
1630,80,0,0,0
1009,6,0,0,0
1011,6,0,0,0
1185,42,0,0,0
1534,86,9,18,19
1165,29,9,18,19
1642,82,30,192,340
1130,40,30,165,285
1220,48,30,192,340
1036,21,9,18,19
1198,40,12,30,34
1630,80,21,84,119
1630,80,3,0,0
1636,82,19,81,111
1634,83,21,84,119
1651,86,41,374,778
1783,106,59,734,2144
1630,80,9,18,19
1633,82,21,123,183
1632,82,21,105,155
1633,82,21,123,183
1633,82,18,63,83
1659,86,45,439,997
1630,80,9,18,19
1689,94,54,661,1786
1632,82,21,105,155
1688,92,51,617,1661
1634,82,21,93,133
1688,87,41,354,743
1630,82,6,9,0
1631,82,21,84,119
1630,80,3,0,0
1636,82,21,91,129
1660,84,36,258,526
1683,92,49,577,1430
1630,80,0,0,0
1240,46,21,84,119
1202,44,21,84,119
1023,10,0,0,0
1535,85,21,84,119
1049,25,18,63,83
1242,46,21,123,183
1193,47,21,123,183
1185,43,3,0,0
1117,34,18,63,83
1207,43,18,81,111
1534,85,12,32,34
1016,11,9,18,19
1188,44,12,30,34
1539,86,21,84,119
1197,48,21,84,119
1532,84,6,9,0
1010,6,3,0,0
1031,16,9,18,19
1554,88,40,374,778
1183,46,33,198,363
1295,55,39,348,716
1260,53,38,319,657
1238,41,12,30,34
1027,17,9,18,19
1011,7,0,0,0
1534,85,10,27,27
1536,86,21,123,183
1535,86,21,105,155
1536,86,21,123,183
1538,86,18,63,83
1561,88,45,399,895
1534,85,6,9,0
1602,92,52,650,1750
1535,86,21,105,155
1532,84,3,0,0
1534,85,9,18,19
1591,92,52,613,1586
1540,86,21,84,119
1585,88,38,304,631
1535,86,21,84,119
1532,85,6,9,0
1532,85,6,9,0
1541,86,21,91,129
1561,88,36,272,570
1586,92,48,577,1430
1543,86,24,123,183
1106,30,9,18,19
1186,43,9,18,19
1028,22,21,105,155
1029,23,21,123,183
1028,22,21,105,155
1027,22,21,84,119
1166,29,10,27,27
1196,37,3,0,0
1028,22,21,105,155
1027,22,21,105,155
1025,22,21,84,119
1028,22,21,105,155
1027,22,21,84,119
1010,9,9,18,19
1314,58,44,391,877
1284,55,44,408,928
1258,43,21,117,168
1274,58,43,354,794
1007,2,0,0,0
1236,42,9,18,19
1092,24,12,30,34
1253,50,28,173,302
1205,51,28,179,317
1372,66,50,609,1586
1238,38,6,9,0
1364,66,48,577,1453
1025,22,21,84,119
1208,45,21,93,133
1338,64,48,545,1298
1240,46,35,228,429
1016,9,3,0,0
1093,25,12,30,34
1034,18,12,30,34
1185,42,0,0,0
1100,29,12,30,34
1108,32,22,105,155
976,49,36,297,596
1837,54,38,297,596
1674,54,37,297,596
1084,46,37,297,596
964,48,36,267,532
1051,46,35,258,496
809,45,36,267,531
769,42,35,231,441
1057,44,36,258,496
1395,55,37,297,596
733,40,29,162,274
1266,50,38,297,596
975,53,37,297,596
908,45,34,231,441
611,26,15,45,55
584,21,6,9,0
585,21,9,18,19
1851,59,38,297,596
1689,59,37,297,596
1152,47,37,297,596
1035,53,36,267,531
1110,51,35,258,496
898,45,36,267,531
862,43,35,231,441
1123,44,36,258,496
1425,60,37,297,596
830,40,29,162,274
1305,54,38,297,596
1048,53,37,297,596
990,49,34,231,441
706,21,9,18,19
2198,190,39,318,650
1879,94,39,318,650
1849,62,36,267,532
1870,79,35,258,496
1840,59,25,135,223
1830,47,36,267,531
1824,46,36,254,486
1877,74,36,283,550
1810,29,9,18,19
2010,129,39,318,650
1810,30,12,33,34
1820,43,30,186,319
1960,113,39,318,650
1850,57,39,316,650
1810,28,9,18,19
1838,56,34,231,441
1812,32,15,56,70
1810,27,9,18,19
1810,31,12,30,34
1810,26,6,9,0
1810,26,6,9,0
1810,26,0,0,0
1810,26,0,0,0
1810,28,9,18,19
1775,76,39,318,650
1687,59,36,267,532
1737,74,36,258,496
1664,62,25,135,223
1647,49,36,267,531
1646,46,36,254,486
1721,96,36,283,550
1620,27,9,18,19
1932,108,39,318,650
1641,43,30,186,319
1852,108,39,318,650
1619,25,6,9,0
1693,57,39,316,650
1673,55,34,231,441
1619,25,9,18,19
1624,29,15,56,70
1620,25,9,18,19
1621,27,12,30,34
1143,46,36,267,531
1219,53,35,258,496
1069,44,25,132,209
1014,45,36,267,531
986,44,36,254,486
1213,53,36,283,550
1517,75,39,318,650
957,41,30,186,319
1421,70,39,318,650
1156,49,39,316,650
1105,44,34,231,441
1099,51,34,231,441
880,45,36,267,531
843,42,35,231,441
1110,43,35,231,441
1425,55,36,267,532
692,23,12,30,34
1297,54,36,267,532
