"0,2-d","1,2-d","3,2-d","4,2-d","5,2-d"
2714,141,42,468,2014
2647,124,21,162,437
2615,114,9,27,19
2606,108,0,0,0
2609,110,0,0,0
2628,119,12,54,76
2625,118,15,54,76
2618,115,9,27,19
2661,127,24,234,855
2618,115,9,27,19
2717,133,36,495,2831
3839,294,165,3798,32281
2657,127,27,288,1140
2608,110,3,0,0
2652,125,21,180,570
2641,122,21,189,665
2608,110,3,0,0
2606,108,0,0,0
2806,148,54,1053,7752
3644,298,174,3654,30001
2631,118,12,45,38
2608,110,3,0,0
2613,113,6,9,0
2621,117,9,27,19
2612,112,6,9,0
2635,121,18,135,380
2620,118,12,27,0
2618,116,12,36,19
2921,166,69,1359,10830
2611,112,6,9,0
2620,116,12,54,76
2730,135,33,441,2318
2616,117,9,9,0
2610,111,3,0,0
3202,189,87,2259,21679
3111,188,90,2088,19513
2615,114,9,27,19
3060,174,66,1161,7543
2611,112,6,9,0
2611,112,6,9,0
2630,118,12,54,76
2654,126,24,216,722
2849,161,57,891,5434
3108,191,93,2070,18240
2684,132,30,315,1197
2045,84,0,0,0
1790,75,18,135,380
1083,18,12,54,76
1506,41,24,198,551
1744,70,24,180,456
1749,51,24,198,551
1125,23,15,90,190
1284,31,21,171,494
1753,68,12,54,76
2258,89,12,54,76
1053,15,6,9,0
1016,5,3,0,0
1077,14,3,0,0
1749,67,21,171,494
1082,16,3,0,0
2303,100,21,162,437
1194,28,15,90,190
1575,53,21,162,437
1133,26,12,54,76
1572,61,21,171,494
2100,105,57,1224,11020
1430,45,21,189,665
1935,102,72,1638,15352
2051,104,69,1629,15067
1686,72,51,1152,10925
1530,57,42,756,5567
2054,96,45,909,7771
1906,87,57,1269,11932
1584,63,45,891,7372
1509,55,36,594,4180
1483,51,30,405,2280
1394,38,15,72,95
2605,135,72,1728,16340
1427,44,21,189,665
1572,61,42,765,5700
1391,39,15,72,95
2410,136,66,1593,15371
1687,70,51,1098,9709
1496,57,33,414,2147
1376,31,3,0,0
1968,95,69,1647,15808
1877,93,75,1755,16397
1435,46,24,207,684
1874,92,60,1449,14098
1231,26,9,27,19
2252,87,9,27,19
2057,91,9,27,19
1011,3,3,0,0
1024,8,3,0,0
2052,89,6,9,0
1062,14,6,9,0
2130,101,48,864,5890
1782,73,21,180,570
1793,78,30,342,1425
2298,120,63,1458,13566
1777,74,24,234,855
2414,147,99,2187,17499
2179,108,60,1134,7752
1801,80,30,279,1045
2108,100,48,900,6441
2049,105,57,1269,11533
1973,103,60,1260,9918
2417,151,96,2151,17841
1765,71,18,108,190
2269,128,84,1926,16739
1797,74,18,135,380
1786,74,18,135,380
1740,62,6,9,0
1947,92,42,792,6289
1777,73,21,180,570
2422,132,72,1377,9481
1820,80,27,261,912
1957,88,36,522,3002
1765,70,18,135,380
1843,85,30,360,1653
1776,73,21,162,437
1790,75,24,234,855
1757,67,12,54,76
2968,207,144,3132,25251
1770,72,21,189,665
1746,65,9,27,19
1935,95,48,873,6042
2773,200,144,3096,24738
1785,76,27,288,1140
1778,74,24,243,950
1741,62,6,9,0
1785,76,27,288,1140
1764,70,18,135,380
2331,119,69,1656,15428
1778,74,24,243,950
2240,115,66,1476,13338
2189,105,51,909,6118
1770,72,21,189,665
1740,62,6,9,0
1978,97,48,810,5263
2237,122,63,1323,11666
1813,80,30,306,1159
2047,86,3,0,0
2081,86,39,585,3325
1846,67,45,774,5225
1775,63,42,738,5187
1640,55,30,387,1995
2084,98,48,819,5434
1936,83,45,801,5567
1607,52,30,405,2280
2089,91,51,882,6042
1487,45,27,252,874
1465,39,18,135,380
2635,127,51,909,6232
2440,129,48,828,5396
1436,33,12,45,38
1856,83,57,981,6460
1426,30,12,54,76
1645,61,42,666,4256
1480,43,30,315,1197
1162,23,9,27,19
1733,65,24,207,627
1109,24,18,135,380
2287,96,21,180,570
2092,101,21,180,570
1068,16,12,54,76
1297,34,21,162,437
1472,32,12,54,76
1710,62,12,54,76
1715,41,12,54,76
1744,69,30,342,1425
1131,27,21,189,665
1303,39,21,189,665
1120,25,21,189,665
2298,100,30,342,1425
2103,104,30,342,1425
1570,53,24,243,950
2249,128,84,1944,17822
1619,58,24,243,950
1884,90,63,1476,13927
1728,71,39,666,4712
1808,81,48,963,7771
2252,112,57,1179,9956
2104,103,63,1449,13281
1621,57,24,216,684
1576,44,6,9,0
1710,71,39,603,3781
1782,80,54,1125,9405
1588,48,6,9,0
2257,85,36,513,2907
1707,70,39,639,4370
1629,62,27,261,874
1592,50,12,54,76
1582,48,12,27,19
1681,69,36,495,2831
2803,158,87,2160,20121
1625,56,21,189,665
1621,59,27,288,1140
1591,49,12,54,76
1605,54,21,189,665
2608,164,87,1998,18696
1885,85,51,1062,9120
1694,70,33,441,2318
1574,44,6,0,0
2166,114,81,2007,18924
2075,111,72,1773,17081
1633,57,21,189,665
2072,121,87,1935,17423
2282,96,24,234,855
2087,100,24,234,855
1099,25,24,234,855
1092,23,21,189,665
1099,25,24,234,855
1092,23,21,189,665
1706,59,15,90,190
1708,58,12,45,38
1752,69,27,279,1045
2059,81,36,522,2964
2000,100,57,1305,11989
1844,80,42,756,5567
1924,93,54,1026,7486
2220,114,72,1620,13908
1737,67,24,216,684
1826,82,42,657,4066
1898,88,51,1080,9215
1704,57,9,18,0
2373,101,51,828,4940
1771,67,24,234,855
1823,81,39,639,4370
1794,75,30,351,1539
1727,63,18,135,380
1698,56,9,27,19
1741,65,24,234,855
1691,53,6,9,0
1797,76,33,477,2812
2919,189,123,2826,23845
1741,66,21,189,665
1886,86,48,819,5776
2724,186,120,2682,22648
1711,59,12,45,38
1715,61,18,135,380
2001,98,57,1170,10013
1700,57,12,54,76
1810,74,33,432,2242
2282,123,78,1926,18050
2191,117,75,1809,16891
2140,88,42,639,3629
1929,82,42,576,3002
2188,123,69,1638,15067
1764,69,24,234,855
1714,42,15,90,190
2260,90,15,90,190
2065,94,15,90,190
1046,10,0,0,0
1076,19,6,9,0
1105,24,6,9,0
1058,16,6,9,0
2279,96,15,63,76
2084,101,15,63,76
1548,61,15,63,76
1166,26,15,81,133
1134,24,12,54,76
2064,94,15,81,133
1531,44,12,54,76
1698,58,9,27,19
2249,86,9,27,19
1007,0,0,0,0
2047,86,3,0,0
1370,42,21,189,665
1590,55,24,243,950
1107,25,21,189,665
1652,53,24,243,950
1558,58,24,243,950
1034,10,6,9,0
1017,6,6,9,0
2050,88,6,9,0
1824,66,45,828,5966
1689,58,36,504,2679
2133,113,66,1251,8626
1985,86,48,891,6365
1493,38,21,180,570
1656,55,33,477,2812
2138,98,60,1062,7011
1514,40,24,207,608
1673,62,42,639,3705
2684,137,57,1125,8113
1651,54,33,423,2014
2489,140,57,1044,6878
2047,72,39,576,3173
1956,70,33,423,2052
1905,72,45,774,5225
1694,60,36,576,3819
2067,94,12,45,38
1054,13,9,27,19
1760,49,18,135,380
1181,32,18,135,380
1128,25,21,189,665
2306,103,27,279,1045
2111,105,27,279,1045
2062,99,51,909,6384
1914,83,51,990,7258
1389,24,9,27,19
1585,50,33,477,2812
2067,83,45,837,6137
1602,49,36,549,3344
2613,129,51,990,7258
2418,126,45,801,5510
1976,67,33,441,2261
1834,71,42,738,5187
1623,55,39,657,4503
1559,65,45,855,6631
2003,96,54,1125,9557
1855,84,54,1179,10640
1383,42,18,135,380
1458,54,36,594,4180
1380,45,21,180,570
2554,134,69,1602,14706
1321,26,0,0,0
2359,137,66,1548,14440
1636,66,48,918,7391
1325,29,3,0,0
1917,85,60,1422,13661
1826,83,54,1260,12160
1775,60,30,360,1615
1369,44,21,189,665
1823,93,63,1404,12692
2047,86,3,0,0
1511,44,3,0,0
1206,27,15,90,190
2398,117,42,720,5149
1365,48,33,495,3135
2203,114,39,684,5035
1289,37,27,324,1596
1761,73,45,792,5681
1670,63,39,684,5035
1667,72,39,666,4712
1075,18,9,27,19
2249,86,9,27,19
1025,9,9,27,19
1518,48,9,27,19
1927,91,51,981,7201
1250,26,6,9,0
1457,53,33,495,3135
1932,70,39,603,3553
2478,128,63,1269,9918
2283,129,63,1269,9918
1841,77,51,963,7619
1750,77,48,900,6764
1699,57,33,450,2375
1260,28,6,9,0
2223,128,78,1692,13851
1698,58,9,27,19
1731,67,21,180,570
1698,58,9,27,19
1894,83,33,477,2812
2376,134,75,1359,8968
1704,61,12,45,38
1691,54,3,0,0
1748,71,21,171,494
1911,86,39,594,3534
1719,65,18,135,380
1797,78,30,279,1083
1698,58,9,27,19
1711,62,12,54,76
2922,180,96,2187,18297
1889,88,45,765,4940
2727,175,87,1980,16587
1696,56,6,9,0
1704,61,9,27,19
1695,56,6,9,0
1703,62,12,27,0
1689,52,0,0,0
1701,60,12,36,19
1694,56,6,9,0
2285,111,60,1341,11647
2194,107,54,1134,9633
1698,58,9,27,19
2143,103,51,873,5719
1932,88,39,630,4104
2191,111,51,1017,8360
1767,71,21,189,665
1571,50,12,54,76
1122,21,12,54,76
1078,19,12,54,76
2075,98,21,117,190
1753,75,42,810,6688
1746,69,36,522,3002
2228,106,57,1089,7809
1584,55,21,171,494
1763,70,36,549,3344
1554,46,9,27,19
1649,63,27,315,1463
2774,161,87,2160,19475
1592,58,27,288,1140
1587,54,21,180,570
1552,45,9,27,19
1560,49,12,54,76
2579,159,90,2025,17879
1553,45,6,9,0
1856,83,57,1116,9006
1665,62,30,369,1786
2137,103,72,1611,14155
2046,95,60,1323,12122
1995,88,48,873,5985
1546,43,6,9,0
1784,76,42,720,4883
2043,103,63,1440,13129
1619,59,27,261,969
2281,96,21,126,304
1363,37,15,90,190
1644,53,18,126,304
1050,9,3,0,0
1031,10,9,27,19
1007,0,0,0,0
1105,21,12,45,38
1069,9,0,0,0
2302,98,21,153,399
2107,101,18,135,380
1571,62,24,180,437
1198,30,15,90,190
1195,28,18,135,380
2291,97,24,216,684
1654,53,24,216,684
2245,84,6,9,0
2050,88,6,9,0
1515,46,6,9,0
1514,46,6,9,0
1359,50,36,567,3667
1255,39,24,216,722
1258,38,27,324,1596
2380,113,42,657,4066
2185,114,39,585,3515
1743,67,36,531,3249
1652,66,39,594,3724
1649,71,36,549,3420
1278,38,18,135,380
1330,43,33,477,2812
2452,123,57,1143,9424
2257,126,51,1008,8417
1534,58,45,828,6308
1815,75,48,990,8398
1724,75,51,1080,9215
1721,78,48,945,7733
1225,27,6,9,0
1040,11,3,0,0
2047,86,3,0,0
1011,3,3,0,0
1736,47,18,135,380
1249,34,21,180,570
2087,99,21,180,570
1554,48,18,135,380
1160,22,12,54,76
2256,89,12,54,76
2061,92,12,54,76
1619,45,12,54,76
1528,43,12,54,76
1899,65,33,477,2812
1434,40,27,324,1596
2445,111,36,522,3002
1527,42,18,135,380
1666,56,33,450,2470
1737,46,15,90,190
1757,52,24,207,608
1753,49,15,90,190
1916,67,42,639,3705
1724,45,18,135,380
2927,153,78,1485,10260
1894,63,33,414,1938
2732,151,69,1287,8645
1694,32,0,0,0
1728,42,9,27,19
2148,105,54,927,6232
1937,75,39,657,4503
2325,99,21,189,665
2130,106,27,261,912
1126,20,9,27,19
1546,46,24,207,684
1170,27,18,135,380
1055,12,6,9,0
2283,97,21,171,494
1096,23,21,144,380
1555,50,18,135,380
1292,29,18,126,304
2108,100,21,171,494
1524,38,18,135,380
2276,89,9,27,19
1545,54,12,45,38
2377,112,42,666,4427
2182,112,39,621,4237
1740,66,42,666,4427
1649,66,39,621,4237
1646,72,36,594,4180
1029,8,3,0,0
2299,104,36,297,893
1075,18,9,27,19
1381,43,21,180,570
1568,65,33,261,779
2462,111,36,549,3344
2267,119,33,441,2394
1472,46,30,405,2280
2270,92,18,135,380
2075,96,18,135,380
2058,92,12,45,38
2245,84,6,9,0
2050,88,6,9,0
2348,109,33,414,1938
2153,113,36,441,1995
1130,24,9,27,19
1129,22,6,9,0
1117,17,3,0,0
1617,68,30,369,1748
2281,93,18,135,380
2086,99,21,162,437
1291,32,18,135,380
1028,10,9,27,19
1025,9,9,27,19
1058,12,6,9,0
1034,10,6,9,0
2067,97,18,63,76
1036,10,3,0,0
1528,51,12,54,76
1023,7,3,0,0
2295,98,24,234,855
2100,103,24,234,855
2245,84,6,9,0
2050,88,6,9,0
2240,80,0,0,0
1019,6,0,0,0
1023,6,0,0,0
1511,44,0,0,0
2057,91,9,27,19
1473,29,9,27,19
2351,104,33,477,2812
1433,48,30,405,2280
1623,62,33,477,2812
1153,22,9,27,19
1534,45,12,54,76
2295,95,21,189,665
2242,82,3,0,0
2286,97,21,180,570
2275,94,21,189,665
2440,124,51,999,7486
3278,250,171,3618,29906
2249,86,9,27,19
2290,98,27,288,1140
2283,96,24,243,950
2290,98,27,288,1140
2269,92,18,135,380
2555,141,69,1377,10925
2249,86,9,27,19
2836,176,93,2259,21128
2283,96,24,243,950
2745,154,93,2205,20121
2303,100,24,216,722
2694,135,60,1098,7334
2245,84,6,9,0
2275,94,21,189,665
2242,82,3,0,0
2288,97,24,216,722
2483,120,48,774,4940
2742,163,93,1926,17024
2241,81,0,0,0
1658,53,21,189,665
1567,52,21,189,665
1058,10,0,0,0
2096,101,21,189,665
1182,29,18,135,380
1654,55,27,288,1140
1560,61,27,288,1140
1511,44,3,0,0
1368,39,18,135,380
1558,51,21,180,570
2066,94,15,72,95
1042,12,9,27,19
1530,51,12,54,76
2080,98,21,189,665
1544,56,21,189,665
2050,88,6,9,0
1024,8,3,0,0
1096,17,9,27,19
2245,124,54,1053,7752
1522,55,33,495,3135
1803,76,48,918,6878
1712,70,48,873,6289
1622,46,12,54,76
1089,18,9,27,19
1027,7,0,0,0
2070,95,12,45,38
2095,102,27,288,1140
2088,100,24,243,950
2095,102,27,288,1140
2074,97,18,135,380
2360,129,54,1089,9329
2055,90,6,9,0
2641,158,81,2061,20159
2088,100,24,243,950
2047,86,3,0,0
2059,92,9,27,19
2550,159,84,1989,18658
2108,101,21,189,665
2499,133,54,900,5738
2080,98,21,189,665
2050,88,6,9,0
2050,88,6,9,0
2093,102,27,225,722
2288,125,51,837,5320
2547,166,84,1845,16796
2123,105,27,288,1140
1347,33,9,27,19
1518,48,9,27,19
1100,25,24,243,950
1107,27,27,288,1140
1100,25,24,243,950
1092,23,21,189,665
1495,35,12,45,38
1514,37,3,0,0
1100,25,24,243,950
1093,24,24,243,950
1085,22,21,189,665
1100,25,24,243,950
1092,23,21,189,665
1028,10,9,27,19
1918,88,54,1089,9253
1827,82,54,1143,9899
1776,56,27,270,969
1824,85,48,981,8436
1009,2,0,0,0
1612,42,9,27,19
1264,27,12,54,76
1727,63,33,441,2318
1633,69,36,477,2432
2108,101,75,1854,18031
1618,42,6,9,0
2105,107,72,1764,16720
1085,22,21,189,665
1575,54,24,216,722
2014,103,63,1503,14478
1704,62,36,576,3819
1046,11,3,0,0
1274,29,12,54,76
1109,22,12,54,76
1509,42,0,0,0
1298,32,12,54,76
1328,41,27,270,1007
1213,66,45,783,5700
2435,86,51,828,5814
2234,77,45,801,5795
1363,55,42,765,5681
1198,64,42,720,5130
1314,56,39,657,4522
949,54,39,684,5016
873,46,36,585,3990
1317,53,39,657,4522
1868,82,48,810,5795
835,46,30,396,2128
1673,75,48,819,5814
1231,73,42,765,5681
1137,56,36,585,3990
677,30,15,90,190
641,21,6,9,0
644,23,9,27,19
2558,87,45,783,5700
2357,83,42,765,5681
1486,53,42,765,5681
1321,72,39,684,5016
1437,64,39,657,4522
1072,52,39,684,5016
996,47,36,585,3990
1440,49,39,657,4522
1991,85,42,765,5681
958,44,30,396,2128
1796,79,45,783,5700
1354,76,42,765,5681
1260,59,36,585,3990
767,21,9,27,19
3579,237,57,945,6441
2708,133,45,837,6194
2543,95,45,747,5187
2659,114,39,657,4522
2424,85,30,342,1520
2294,66,39,684,5016
2218,67,39,648,4389
2662,107,42,729,5035
1993,33,9,27,19
3213,175,54,918,6403
2001,38,15,72,95
2180,61,33,459,2527
3018,161,69,1017,6536
2576,85,48,864,6251
1994,35,12,36,19
2482,82,39,612,4047
2022,42,21,135,266
1989,32,9,27,19
2004,36,12,54,76
1986,31,6,9,0
1985,30,6,9,0
1980,26,0,0,0
1980,26,0,0,0
1989,32,9,27,19
2507,106,45,837,6194
2342,87,42,720,5130
2458,102,39,657,4522
2223,85,30,342,1520
2093,67,39,684,5016
2017,59,39,648,4389
2461,131,42,729,5035
1792,28,9,27,19
3012,148,54,927,6422
1979,54,36,477,2546
2817,151,60,954,6441
1789,28,6,9,0
2375,83,51,882,6270
2281,75,36,585,3990
1791,27,9,27,19
1821,37,21,135,266
1788,27,9,27,19
1803,31,12,54,76
1471,53,39,684,5016
1587,68,39,657,4522
1352,52,27,315,1463
1222,49,39,684,5016
1146,51,39,648,4389
1590,70,42,729,5035
2141,105,45,837,6194
1108,45,33,459,2527
1946,97,45,837,6194
1504,57,45,837,6194
1410,50,36,585,3990
1422,68,36,585,3990
1057,53,39,684,5016
981,48,36,585,3990
1425,50,36,585,3990
1976,75,45,720,5130
764,27,12,54,76
1781,80,45,747,5187
1339,71,39,684,5016
1245,68,39,612,4047
785,29,15,90,190
745,18,3,0,0
1173,51,36,585,3990
1097,48,33,495,3135
2092,94,39,657,4522
1059,43,27,324,1596
1897,90,39,657,4522
1455,68,39,657,4522
1361,58,33,495,3135
862,36,24,252,1064
1306,62,27,315,1463
1857,65,30,342,1520
824,34,24,252,1064
1662,67,30,342,1520
1220,40,27,315,1463
666,23,12,54,76
732,43,36,585,3990
1176,45,36,585,3990
1727,62,39,684,5016
1532,64,39,684,5016
1090,53,39,684,5016
996,51,36,585,3990
1100,44,36,558,3534
1651,60,39,648,4389
1456,60,39,648,4389
1014,49,39,648,4389
2095,83,42,729,5035
1062,43,30,387,1995
1900,77,42,729,5035
1458,54,42,729,5035
1364,44,33,495,3135
1231,31,9,27,19
1613,58,36,477,2546
2451,131,51,909,6403
2009,98,51,882,6270
