"0,2-nd","1,2-nd","3,2-nd","4,2-nd","5,2-nd"
3151098,5190,2220,360909,5904478
3051250,4844,2091,360432,6187977
2877721,4143,1341,205416,3304632
3603669,8255,2619,382986,5928513
3337004,6714,2460,382752,6233558
2774974,3727,1377,204858,3355609
3613113,7285,2664,406602,6559408
2647095,3055,882,104229,1465755
2619262,2687,612,63252,771210
4934020,13208,3081,438039,6582873
4411097,13364,2898,380475,5565423
2574390,2217,321,15651,118522
3149690,6307,2643,391482,6603925
2572390,2181,294,16470,117572
2861030,4322,1830,290664,5153959
2639338,2948,939,111438,1590547
2214582,1586,195,13860,131651
3149382,5667,1005,95148,1140171
2147721,1480,402,59877,1014486
4500192,10679,1170,105498,1139088
3969331,11072,1194,104607,1139088
2095163,1040,189,15210,147345
2405201,2327,591,74133,1119005
2662181,2386,327,18864,149815
3120543,5284,429,19089,149815
3146030,3285,357,19152,149815
3165299,5931,1368,156006,2151465
2180278,1705,534,68985,1069605
2432430,2846,762,105642,1658890
2166098,1610,513,67788,1069605
4515000,10950,1590,167814,2151465
3985623,11314,1590,165519,2151465
2807643,4219,1032,136953,2092717
3849051,11178,4905,873693,16741299
2866194,4428,951,96948,1343433
3224939,7339,3666,736074,15490605
3012676,5689,2094,371340,7452104
3145687,6517,2706,500337,9969452
3882993,9794,3390,615699,12275349
3608456,8774,3888,748503,15393743
2879832,4496,924,95742,1234183
2835521,3832,210,8262,0
2992696,5605,1953,309762,5684116
3085920,6430,2946,553113,11147528
2845544,3924,225,9531,0
3918560,7321,1995,305703,4981002
2991381,5591,2022,353187,7076094
2881556,4656,1047,106110,1390686
2853611,4183,444,37746,429799
2837739,3947,339,20790,211356
2948516,5271,1623,227448,3813832
5183791,16325,5649,979092,18267683
2871496,4414,891,102825,1541432
2873089,4553,1062,111285,1527752
2845632,4061,420,26361,251769
2876981,4563,906,121536,1841575
4656791,16702,5331,937188,17999422
3208127,6832,2943,555948,11825372
2939953,5286,1551,201492,3307216
2831409,3646,96,0,0
3635593,9710,4806,894897,17610036
3498734,9217,4380,847269,17111780
2893053,4583,921,110430,1654083
3453400,9941,4638,829206,16694312
4479742,10369,987,53955,412034
3949975,10746,996,53694,412034
2100638,1215,561,42561,412034
2095264,1153,480,39726,401584
2100638,1215,561,42561,412034
2095264,1153,480,39726,401584
3123300,5420,705,67122,795017
3118873,5240,489,31176,289066
3170603,5856,1188,114516,1368779
3601197,7152,1944,284247,4466045
3487823,8501,3600,694476,14241184
3276991,6837,2337,397152,7909776
3406809,7833,3027,499599,9456813
3868814,10094,4356,789192,15656437
3144426,5639,1026,98577,1234183
3255578,6821,2169,320976,5742921
3350804,7534,3054,559125,11129041
3111312,5017,318,12294,0
4172671,8899,2754,387963,6061741
3192938,5827,1089,112824,1464216
3254256,6779,2136,353925,7076094
3223881,6312,1482,181575,2649113
3145880,5601,879,90000,1113856
3104365,5010,357,20664,211356
3158757,5688,1044,96993,1084558
3099963,4923,267,12258,0
3214593,6326,1692,231120,3813300
5401890,19942,6996,1079496,19199728
3136081,5505,921,102141,1541432
3347716,7278,2556,410508,7483967
4894628,19317,6627,1037826,18945850
3114239,5119,417,19422,164578
3135676,5590,906,105975,1418597
3467444,8187,3267,588726,12460352
3108829,5106,423,19314,147345
3208598,6163,1536,199044,3291351
3897815,10850,4869,879102,16913572
3764998,10158,4602,836730,16292082
3711803,7624,2202,294201,4342127
3407955,6867,1884,220923,3392355
3724389,10511,4323,777321,15286659
3183239,5828,1065,96849,1181591
3156782,3609,522,62199,795017
4475771,10416,879,75816,795017
3945419,10791,885,74034,795017
2057426,538,0,0,0
2094900,1075,93,4500,0
2117982,1271,111,2970,0
2065010,725,66,216,0
4480299,10343,720,42453,427348
3949062,10731,696,41652,427348
2725065,4352,525,38826,427348
2219226,1723,333,28413,317471
2181482,1579,249,18783,178619
3937394,10586,672,36135,317471
2756134,3634,414,30429,300922
3112154,5175,324,12636,99275
4457027,9874,336,12636,99275
2017922,0,0,0,0
3921245,10154,207,0,0
2483417,2937,750,85986,1307808
2870906,4285,885,91152,1343433
2110532,1273,501,54279,965542
2915084,4130,933,96669,1343433
2731599,4379,921,95229,1343433
2048622,576,48,135,0
2021122,208,36,135,0
3921274,9954,48,135,0
3142175,5193,2304,391455,6589352
2969095,4457,1611,244953,3990665
3678958,9555,3510,509976,8099795
3427626,7069,2700,434142,7152018
2686322,2780,678,69309,813637
2866272,4053,1542,231678,3699775
3698963,8022,3045,432549,6602177
2712144,2914,753,75357,880574
2894912,4503,1848,268704,4336389
5011557,14087,3597,526482,8059496
2905981,4124,1380,191907,2968807
4488784,14275,3417,459675,6913302
3485534,6023,1887,278955,4297705
3345570,5690,1602,223281,3372842
3253786,5605,2307,365265,5904478
2955693,4443,1752,285660,4896471
3939892,10590,612,32742,289066
2067355,776,114,10125,104082
3206525,3958,735,92853,1260175
2240355,2022,501,66951,1052847
2171198,1578,498,67707,1069605
4516398,10957,1416,128790,1368779
3989814,11281,1425,126531,1368779
3591727,8415,2793,436554,7150042
3326582,6803,2769,462933,8004396
2554260,2029,213,18243,171152
2767429,3655,1458,225135,3699775
3612443,6761,2529,411192,6672021
2801478,3685,1533,253260,4302778
4918417,13476,3312,501408,8004396
4403806,13254,2880,428994,6815395
3386008,5639,1617,254970,4191153
3151549,5454,2208,364707,6187977
2856062,4059,1758,303876,5493052
2765903,4885,2304,434628,9092830
3504237,8130,3018,569259,12071764
3233351,6889,3159,640035,13996312
2501123,3092,642,81594,1182370
2610262,3977,1698,321453,7058234
2500004,3129,768,79848,1083893
4823765,13888,4443,807093,15846019
2445600,2182,0,0,0
4299307,14090,4275,787509,15823238
2830431,5022,2409,476172,10872750
2447226,2338,84,0,0
3273748,6987,3546,734877,15467824
3134024,6653,3282,690021,14918876
3070246,4684,1383,203445,3172468
2503126,3165,777,104760,1699284
3089375,7316,3501,679878,14635605
3921245,10009,90,0,0
2695147,3707,90,0,0
2249441,1732,387,34299,457843
4615052,12133,2580,404892,7793173
2483081,3341,1386,234954,5132679
4096481,12167,2436,395901,7787131
2338900,2468,933,132705,2612006
3055936,5692,2262,397008,7915818
2921354,5053,2022,377523,7787131
2877999,5597,2016,357750,7452104
2083915,898,132,3123,19760
4453537,9659,192,3123,19760
2026982,331,81,2889,19760
2697769,3761,189,3123,19760
3420263,7702,2733,468657,9069137
2361751,2039,150,7650,0
2626644,3970,1560,281286,5676307
3446965,5633,1947,311067,5402327
4742774,13276,3801,628677,11451015
4220451,13409,3720,611712,11451015
3193830,6251,2697,497709,9838751
3052162,6015,2568,466380,9400364
2983517,4409,1500,229446,3722670
2369303,2054,144,5589,0
3862810,11136,4497,787644,15553552
3109720,5060,246,3492,20406
3144675,5701,876,76482,813637
3113966,5263,369,19773,171152
3322676,6938,1761,238905,3699775
4137757,11745,3918,547254,8703767
3116600,5274,387,14202,104234
3106402,5005,159,0,0
3158228,5819,864,76437,1009166
3353898,7188,2022,281016,4320410
3144812,5771,840,98073,1274330
3232772,6424,1266,154881,2373119
3109662,5047,228,3051,19608
3128245,5461,510,39546,429799
5433314,18679,5904,957645,17385912
3357005,7375,2322,357210,6530832
4927580,18037,5397,881802,16223188
3113216,5202,288,12960,0
3117115,5279,351,15003,112632
3108737,5114,273,10530,0
3113260,5131,258,3825,0
3106404,4799,0,0,0
3111807,5139,321,9630,19608
3108038,5033,204,3069,0
3926523,9736,3669,676215,13387666
3790199,9237,3258,600183,12184586
3109662,5047,228,3051,19608
3705262,8703,2805,405090,6307886
3412565,7365,2103,307296,4935687
3752358,9535,3036,540675,11070521
3192573,6012,981,99117,1218071
2867709,4192,516,46152,508896
2161430,1368,237,26055,314222
2112724,1217,213,24381,306375
3949395,10767,870,54657,526129
3093296,6033,2403,462168,9956152
3054386,5463,1707,237501,3811875
3891804,8903,3300,525708,8897377
2881849,4393,792,77436,959614
3087546,5609,1806,264447,4302778
2848596,4022,369,27432,269249
2963212,5045,1296,188658,3060045
5178714,16768,5865,1036647,19847172
2876588,4440,1014,104760,1527752
2884397,4355,795,78336,1003181
2842526,3817,270,11529,89661
2847781,3945,405,28521,334058
4665743,16420,5436,961893,18708198
2841637,3798,225,9252,0
3212164,6641,2931,539361,12091923
2948717,4870,1305,173142,3046270
3651353,8753,4119,780399,15993079
3519216,8036,3591,713682,15073365
3438902,7159,2688,420363,6906576
2837317,3799,225,10710,0
3141940,6000,2148,326340,5538633
3476367,8556,3720,707832,14957275
2920791,4688,1068,119556,1563035
4471283,10183,720,52866,598614
2451756,2502,465,39744,515736
2903299,3989,666,52227,598614
2050938,462,27,0,0
2039698,537,90,3384,20406
2017922,0,0,0,0
2101134,1135,195,10449,91827
2083040,683,0,0,0
4499699,10725,1125,100485,1182959
3971326,11060,1086,99090,1182370
2747085,4665,843,85329,1183947
2253183,1928,417,39762,518985
2252454,1869,489,54765,824410
4495438,10588,1158,102114,1234183
2928094,4235,921,96147,1234183
4453655,9746,258,7650,0
3922718,10148,258,7650,0
2699318,3833,207,8262,0
2697476,3822,180,7803,0
2466780,3425,1563,267210,5670550
2333204,2528,729,89433,1460055
2325914,2469,945,136314,2565418
4601401,11856,2424,333342,5742921
4077172,12049,2211,311769,5560141
3040844,5304,1815,295011,5512907
2899402,5066,1869,301734,5672203
2858703,5468,1791,290187,5558146
2356357,2484,597,57348,766954
2425012,2974,1293,201519,3813300
4689104,12823,3510,587853,11147699
4163978,13002,3189,556245,10905392
2688347,4301,2100,394227,8760596
3134734,6086,2739,532809,10905221
2992996,5879,2817,541737,11129041
2954162,6150,2583,493920,10322681
2310216,1881,144,5814,0
2051448,617,27,0,0
3921245,9929,9,0,0
2018960,175,9,0,0
3169947,3677,651,59751,635360
2336278,2291,615,59931,813637
3957026,10818,969,76905,813637
2778811,3775,609,52200,606556
2211197,1496,258,21726,261098
4459911,9960,498,25920,261098
3930625,10328,471,25758,261098
2890019,3709,390,25776,261098
2748200,3468,387,25632,261098
3345531,5132,1653,239364,3699775
2521600,2753,1026,147096,2406141
4658590,11689,1953,249750,3811875
2657713,3145,627,62658,782040
2879018,4069,1494,216072,3467709
3179315,3704,543,54819,668325
3192696,3983,849,79029,880574
3185308,3733,534,43650,500099
3377633,5303,1911,277002,4336389
3169584,3805,690,92718,1274330
5473337,15878,4479,636507,9848479
3387698,5122,1512,216981,3445821
4961051,15595,4026,562185,8678364
3131206,2800,0,0,0
3151782,3283,270,13860,110884
3703807,8629,2868,413244,6569972
3430039,5787,2061,327528,5493052
4542020,10911,1275,125217,1437198
4008921,11366,1419,127584,1466439
