0,1,2
1,22,393
1,393,996
1,311,393
1,32,393
1,31,393
1,393,433
1,99,393
1,22,582
1,18,582
1,219,220
1,219,560
1,262,649
1,14,262
1,74,262
1,18,262
1,239,262
1,16,262
1,199,262
1,49,262
1,22,184
1,184,443
1,84,184
1,14,184
1,107,184
1,184,196
1,32,184
1,141,184
1,20,184
1,125,184
1,67,184
1,184,460
1,18,184
1,184,205
1,104,184
1,184,232
1,94,184
1,179,184
1,184,239
1,184,1052
1,17,184
1,16,184
1,184,199
1,49,184
1,20,268
1,18,268
1,94,268
1,1060,1061
1,712,1060
1,94,649
1,177,649
1,11,22
1,22,356
1,22,443
1,22,84
1,22,578
1,14,22
1,22,311
1,22,23
1,22,27
1,22,107
1,22,215
1,22,32
1,22,490
1,22,141
1,22,66
1,22,140
1,22,886
1,20,22
1,22,889
1,22,31
1,22,399
1,22,99
1,22,633
1,22,310
1,22,92
1,22,355
1,22,460
1,18,22
1,22,289
1,22,682
1,22,104
1,22,94
1,22,697
1,22,703
1,22,1017
1,22,687
1,22,244
1,17,22
1,22,746
1,16,22
1,8,22
1,22,561
1,22,715
1,22,368
1,22,49
1,22,44
1,94,344
1,11,14
1,11,311
1,11,27
1,11,215
1,11,32
1,11,141
1,11,115
1,11,31
1,11,399
1,11,433
1,11,18
1,11,94
1,11,475
1,8,11
1,11,46
1,11,368
1,11,44
1,15,235
1,14,356
1,355,356
1,18,356
1,94,356
1,356,533
1,356,368
1,311,996
1,32,996
1,31,996
1,14,443
1,23,443
1,215,443
1,355,443
1,18,443
1,94,443
1,16,443
1,14,84
1,84,197
1,84,107
1,84,196
1,84,215
1,32,84
1,84,141
1,84,140
1,84,334
1,15,84
1,20,84
1,84,109
1,31,84
1,84,125
1,84,274
1,84,645
1,84,277
1,67,84
1,18,84
1,84,205
1,84,206
1,84,768
1,84,289
1,84,94
1,84,179
1,84,239
1,84,1052
1,17,84
1,16,84
1,84,199
1,49,84
1,18,578
1,94,578
1,578,697
1,578,703
1,578,687
1,578,746
1,14,754
1,14,435
1,14,23
1,14,27
1,14,107
1,14,196
1,14,215
1,14,141
1,14,140
1,14,15
1,14,20
1,14,109
1,14,31
1,14,399
1,14,125
1,14,310
1,14,92
1,14,277
1,14,355
1,14,1148
1,14,67
1,14,18
1,14,205
1,14,104
1,14,94
1,14,910
1,14,244
1,14,179
1,14,533
1,14,239
1,14,17
1,14,16
1,8,14
1,14,368
1,14,49
1,14,44
1,31,754
1,18,754
1,94,754
1,220,1181
1,220,490
1,220,274
1,74,220
1,18,220
1,94,220
1,49,220
1,15,661
1,310,661
1,94,661
1,16,661
1,30,32
1,18,30
1,1190,1191
1,94,417
1,107,197
1,141,197
1,197,206
1,17,197
1,49,197
1,645,1196
1,1196,1197
1,94,1196
1,27,311
1,215,311
1,32,311
1,141,311
1,311,889
1,115,311
1,31,311
1,311,433
1,99,311
1,18,311
1,104,311
1,94,311
1,17,311
1,16,311
1,8,311
1,311,368
1,94,435
1,435,910
1,23,31
1,23,310
1,23,355
1,18,23
1,23,94
1,27,32
1,27,141
1,27,602
1,27,115
1,27,31
1,27,99
1,18,27
1,27,94
1,17,27
1,8,27
1,27,368
1,107,215
1,32,107
1,107,141
1,66,107
1,107,125
1,107,274
1,18,107
1,107,1238
1,94,107
1,107,179
1,107,927
1,17,107
1,16,107
1,8,107
1,107,177
1,49,107
1,94,1247
1,49,1247
1,144,196
1,18,196
1,104,196
1,94,196
1,196,239
1,17,196
1,16,196
1,49,196
1,274,1255
1,18,1255
1,1255,1256
1,49,1255
1,32,215
1,215,1264
1,20,215
1,31,215
1,18,215
1,94,215
1,17,215
1,16,215
1,8,215
1,215,296
1,32,141
1,32,391
1,32,889
1,32,602
1,32,115
1,31,32
1,32,392
1,32,894
1,32,274
1,32,99
1,32,633
1,32,310
1,32,970
1,32,645
1,18,32
1,32,104
1,32,94
1,32,502
1,32,712
1,32,1017
1,32,52
1,32,1269
1,32,921
1,32,390
1,17,32
1,16,32
1,32,1013
1,8,32
1,32,368
1,32,49
1,32,44
1,141,490
1,399,490
1,92,490
1,94,490
1,20,141
1,115,141
1,31,141
1,141,241
1,99,141
1,141,748
1,141,310
1,18,141
1,141,206
1,126,141
1,141,682
1,141,232
1,94,141
1,141,921
1,141,179
1,141,239
1,17,141
1,16,141
1,8,141
1,141,936
1,141,368
1,49,141
1,44,141
1,18,144
1,144,179
1,17,144
1,144,1283
1,391,392
1,1292,1293
1,66,71
1,66,1305
1,18,66
1,66,94
1,49,66
1,15,140
1,125,140
1,18,140
1,17,140
1,18,1264
1,94,1264
1,49,334
1,49,886
1,15,20
1,15,310
1,15,67
1,15,18
1,15,94
1,15,17
1,15,16
1,15,49
1,20,274
1,20,67
1,18,20
1,20,94
1,20,179
1,17,20
1,16,20
1,20,49
1,104,109
1,109,712
1,94,1296
1,1296,1330
1,31,889
1,104,889
1,94,889
1,16,889
1,125,1297
1,18,1297
1,94,1297
1,17,1297
1,16,1297
1,31,115
1,99,115
1,18,115
1,115,179
1,8,115
1,31,241
1,31,433
1,31,274
1,31,99
1,31,633
1,18,31
1,31,104
1,31,94
1,31,1316
1,31,475
1,8,31
1,31,368
1,18,399
1,94,399
1,399,475
1,8,399
