Time=2, beta1=2.4, beta2=0.0, order=3, early_stop=200, lr=0.01, wd=0.0001, alpha=0.5, val_acc=0.8143310851292629, acc=0.8012710098836391
Time=3, beta1=2.4, beta2=0.0, order=3, early_stop=200, lr=0.01, wd=0.0001, alpha=0.5, val_acc=0.8011397028940541, acc=0.748170061887863
Time=4, beta1=2.4, beta2=0.0, order=3, early_stop=200, lr=0.01, wd=0.0001, alpha=0.5, val_acc=0.8135306440226223, acc=0.7540823843411145
*** beta1=2.4, beta2=0.0, order=3, early_stop=200, lr=0.01, wd=0.0001, alpha=0.5, std=0.00749370820337308 *** ave_acc=0.7564018054622164 (best_acc=0.8095033083682404)
Time=0, beta1=2.4, beta2=0.0, order=3, early_stop=200, lr=0.01, wd=0.01, alpha=0.5, val_acc=0.7740264655625209, acc=0.7095296869852795
Time=1, beta1=2.4, beta2=0.0, order=3, early_stop=200, lr=0.01, wd=0.01, alpha=0.5, val_acc=0.7815560212923832, acc=0.6620560272983869
Time=2, beta1=2.4, beta2=0.0, order=3, early_stop=200, lr=0.01, wd=0.01, alpha=0.5, val_acc=0.7552547720312311, acc=0.6953541553217455
Time=3, beta1=2.4, beta2=0.0, order=3, early_stop=200, lr=0.01, wd=0.01, alpha=0.5, val_acc=0.7505561413148361, acc=0.7635868935247772
Time=4, beta1=2.4, beta2=0.0, order=3, early_stop=200, lr=0.01, wd=0.01, alpha=0.5, val_acc=0.7462434889011057, acc=0.6788025533506475
*** beta1=2.4, beta2=0.0, order=3, early_stop=200, lr=0.01, wd=0.01, alpha=0.5, std=0.00749370820337308 *** ave_acc=0.7018658632961673 (best_acc=0.8095033083682404)
Time=0, beta1=2.6, beta2=0.0, order=3, early_stop=200, lr=0.005, wd=0.0, alpha=0.5, val_acc=0.8304192179676584, acc=0.8014279726682616
Time=1, beta1=2.6, beta2=0.0, order=3, early_stop=200, lr=0.005, wd=0.0, alpha=0.5, val_acc=0.8441404918773316, acc=0.8072114055769124
Time=2, beta1=2.6, beta2=0.0, order=3, early_stop=200, lr=0.005, wd=0.0, alpha=0.5, val_acc=0.8367719069995886, acc=0.8076499072118455
Time=3, beta1=2.6, beta2=0.0, order=3, early_stop=200, lr=0.005, wd=0.0, alpha=0.5, val_acc=0.8220743883818509, acc=0.8006242035583855
Time=4, beta1=2.6, beta2=0.0, order=3, early_stop=200, lr=0.005, wd=0.0, alpha=0.5, val_acc=0.8326855534646461, acc=0.8165591704662326
*** beta1=2.6, beta2=0.0, order=3, early_stop=200, lr=0.005, wd=0.0, alpha=0.5, std=0.005710981119618414 *** ave_acc=0.8066945318963274 (best_acc=0.8066945318963274)
Time=0, beta1=2.6, beta2=0.0, order=3, early_stop=200, lr=0.005, wd=0.0001, alpha=0.5, val_acc=0.8168970212416354, acc=0.8091394075383412
Time=1, beta1=2.6, beta2=0.0, order=3, early_stop=200, lr=0.005, wd=0.0001, alpha=0.5, val_acc=0.8260519313856874, acc=0.812707789054658
Time=2, beta1=2.6, beta2=0.0, order=3, early_stop=200, lr=0.005, wd=0.0001, alpha=0.5, val_acc=0.8246840472713111, acc=0.8169606042277351
Time=3, beta1=2.6, beta2=0.0, order=3, early_stop=200, lr=0.005, wd=0.0001, alpha=0.5, val_acc=0.8288490853334385, acc=0.8161132858580051
Time=4, beta1=2.6, beta2=0.0, order=3, early_stop=200, lr=0.005, wd=0.0001, alpha=0.5, val_acc=0.8356591413127228, acc=0.8203053311151984
*** beta1=2.6, beta2=0.0, order=3, early_stop=200, lr=0.005, wd=0.0001, alpha=0.5, std=0.005710981119618414 *** ave_acc=0.8150452835587876 (best_acc=0.8066945318963274)
Time=0, beta1=2.6, beta2=0.0, order=3, early_stop=200, lr=0.005, wd=0.01, alpha=0.5, val_acc=0.6548599779267505, acc=0.5303591537331893
Time=1, beta1=2.6, beta2=0.0, order=3, early_stop=200, lr=0.005, wd=0.01, alpha=0.5, val_acc=0.7767080104740138, acc=0.6965252743367906
Time=2, beta1=2.6, beta2=0.0, order=3, early_stop=200, lr=0.005, wd=0.01, alpha=0.5, val_acc=0.7601075741768473, acc=0.7665162173504155
Time=3, beta1=2.6, beta2=0.0, order=3, early_stop=200, lr=0.005, wd=0.01, alpha=0.5, val_acc=0.7891242329042137, acc=0.6635935466982897
Time=4, beta1=2.6, beta2=0.0, order=3, early_stop=200, lr=0.005, wd=0.01, alpha=0.5, val_acc=0.7387411487463178, acc=0.5999300704200992
*** beta1=2.6, beta2=0.0, order=3, early_stop=200, lr=0.005, wd=0.01, alpha=0.5, std=0.005710981119618414 *** ave_acc=0.651384852507757 (best_acc=0.8066945318963274)
Time=0, beta1=2.6, beta2=0.0, order=3, early_stop=200, lr=0.05, wd=0.0, alpha=0.5, val_acc=0.8155179055554667, acc=0.7183804495174477
Time=1, beta1=2.6, beta2=0.0, order=3, early_stop=200, lr=0.05, wd=0.0, alpha=0.5, val_acc=0.8197103262821, acc=0.7006059692168376
Time=2, beta1=2.6, beta2=0.0, order=3, early_stop=200, lr=0.05, wd=0.0, alpha=0.5, val_acc=0.8191777021718047, acc=0.7344495568181516
Time=3, beta1=2.6, beta2=0.0, order=3, early_stop=200, lr=0.05, wd=0.0, alpha=0.5, val_acc=0.8173947417668973, acc=0.6893564352747923
Time=4, beta1=2.6, beta2=0.0, order=3, early_stop=200, lr=0.05, wd=0.0, alpha=0.5, val_acc=0.8192533496264405, acc=0.7119883450091132
*** beta1=2.6, beta2=0.0, order=3, early_stop=200, lr=0.05, wd=0.0, alpha=0.5, std=0.005710981119618414 *** ave_acc=0.7109561511672686 (best_acc=0.8066945318963274)
Time=0, beta1=2.6, beta2=0.0, order=3, early_stop=200, lr=0.05, wd=0.0001, alpha=0.5, val_acc=0.8115693391469828, acc=0.6836515046588482
Time=1, beta1=2.6, beta2=0.0, order=3, early_stop=200, lr=0.05, wd=0.0001, alpha=0.5, val_acc=0.7726378453067277, acc=0.6379899573051985
Time=2, beta1=2.6, beta2=0.0, order=3, early_stop=200, lr=0.05, wd=0.0001, alpha=0.5, val_acc=0.7243982451994384, acc=0.6030264662112088
Time=3, beta1=2.6, beta2=0.0, order=3, early_stop=200, lr=0.05, wd=0.0001, alpha=0.5, val_acc=0.7849402942029149, acc=0.686516465854477
Time=4, beta1=2.6, beta2=0.0, order=3, early_stop=200, lr=0.05, wd=0.0001, alpha=0.5, val_acc=0.8059949855761896, acc=0.625779525626363
*** beta1=2.6, beta2=0.0, order=3, early_stop=200, lr=0.05, wd=0.0001, alpha=0.5, std=0.005710981119618414 *** ave_acc=0.647392783931219 (best_acc=0.8066945318963274)
Time=0, beta1=2.6, beta2=0.0, order=3, early_stop=200, lr=0.05, wd=0.01, alpha=0.5, val_acc=0.6357374232408654, acc=0.44125070471107924
Time=1, beta1=2.6, beta2=0.0, order=3, early_stop=200, lr=0.05, wd=0.01, alpha=0.5, val_acc=0.6747008239631745, acc=0.5512446157273433
Time=2, beta1=2.6, beta2=0.0, order=3, early_stop=200, lr=0.05, wd=0.01, alpha=0.5, val_acc=0.6396908128098014, acc=0.5158577616534044
Time=3, beta1=2.6, beta2=0.0, order=3, early_stop=200, lr=0.05, wd=0.01, alpha=0.5, val_acc=0.6273390673928494, acc=0.5130526751084122
Time=4, beta1=2.6, beta2=0.0, order=3, early_stop=200, lr=0.05, wd=0.01, alpha=0.5, val_acc=0.6294830264476833, acc=0.532081896140378
*** beta1=2.6, beta2=0.0, order=3, early_stop=200, lr=0.05, wd=0.01, alpha=0.5, std=0.005710981119618414 *** ave_acc=0.5106975306681234 (best_acc=0.8066945318963274)
Time=0, beta1=2.6, beta2=0.0, order=3, early_stop=200, lr=0.001, wd=0.0, alpha=0.5, val_acc=0.7972950252949293, acc=0.7795743599719048
Time=1, beta1=2.6, beta2=0.0, order=3, early_stop=200, lr=0.001, wd=0.0, alpha=0.5, val_acc=0.8158795916668832, acc=0.8073128774657127
Time=2, beta1=2.6, beta2=0.0, order=3, early_stop=200, lr=0.001, wd=0.0, alpha=0.5, val_acc=0.8074894946921952, acc=0.8072499884366495
Time=3, beta1=2.6, beta2=0.0, order=3, early_stop=200, lr=0.001, wd=0.0, alpha=0.5, val_acc=0.8003722902676524, acc=0.799614406555565
Time=4, beta1=2.6, beta2=0.0, order=3, early_stop=200, lr=0.001, wd=0.0, alpha=0.5, val_acc=0.8286112237670851, acc=0.8315522649294121
*** beta1=2.6, beta2=0.0, order=3, early_stop=200, lr=0.001, wd=0.0, alpha=0.5, std=0.005710981119618414 *** ave_acc=0.8050607794718488 (best_acc=0.8066945318963274)
Time=0, beta1=2.6, beta2=0.0, order=3, early_stop=200, lr=0.001, wd=0.0001, alpha=0.5, val_acc=0.8365661715347675, acc=0.8266405613997956
Time=1, beta1=2.6, beta2=0.0, order=3, early_stop=200, lr=0.001, wd=0.0001, alpha=0.5, val_acc=0.7972320024720359, acc=0.7959788726154222
Time=2, beta1=2.6, beta2=0.0, order=3, early_stop=200, lr=0.001, wd=0.0001, alpha=0.5, val_acc=0.8198411530535356, acc=0.822393716766053
Time=3, beta1=2.6, beta2=0.0, order=3, early_stop=200, lr=0.001, wd=0.0001, alpha=0.5, val_acc=0.8370014360038375, acc=0.826060850734456
Time=4, beta1=2.6, beta2=0.0, order=3, early_stop=200, lr=0.001, wd=0.0001, alpha=0.5, val_acc=0.8373076929520514, acc=0.8363760824527003
*** beta1=2.6, beta2=0.0, order=3, early_stop=200, lr=0.001, wd=0.0001, alpha=0.5, std=0.005710981119618414 *** ave_acc=0.8214900167936854 (best_acc=0.8066945318963274)
Time=0, beta1=2.6, beta2=0.0, order=3, early_stop=200, lr=0.001, wd=0.01, alpha=0.5, val_acc=0.6195752148918588, acc=0.5689844011959357
Time=1, beta1=2.6, beta2=0.0, order=3, early_stop=200, lr=0.001, wd=0.01, alpha=0.5, val_acc=0.576124486485924, acc=0.5588550310499801
Time=2, beta1=2.6, beta2=0.0, order=3, early_stop=200, lr=0.001, wd=0.01, alpha=0.5, val_acc=0.5562861374247686, acc=0.5572085435939753
Time=3, beta1=2.6, beta2=0.0, order=3, early_stop=200, lr=0.001, wd=0.01, alpha=0.5, val_acc=0.566153219799444, acc=0.5572483795321603
Time=4, beta1=2.6, beta2=0.0, order=3, early_stop=200, lr=0.001, wd=0.01, alpha=0.5, val_acc=0.5861028854769287, acc=0.5611143561640218
*** beta1=2.6, beta2=0.0, order=3, early_stop=200, lr=0.001, wd=0.01, alpha=0.5, std=0.005710981119618414 *** ave_acc=0.5606821423072147 (best_acc=0.8066945318963274)
Time=0, beta1=2.6, beta2=0.0, order=3, early_stop=200, lr=0.01, wd=0.0, alpha=0.5, val_acc=0.8334902710981457, acc=0.7953116756758486
Time=1, beta1=2.6, beta2=0.0, order=3, early_stop=200, lr=0.01, wd=0.0, alpha=0.5, val_acc=0.8366527042178655, acc=0.7986792463717892
Time=2, beta1=2.6, beta2=0.0, order=3, early_stop=200, lr=0.01, wd=0.0, alpha=0.5, val_acc=0.8340007881869154, acc=0.7979004455071655
Time=3, beta1=2.6, beta2=0.0, order=3, early_stop=200, lr=0.01, wd=0.0, alpha=0.5, val_acc=0.8135794503830447, acc=0.8042604496763315
Time=4, beta1=2.6, beta2=0.0, order=3, early_stop=200, lr=0.01, wd=0.0, alpha=0.5, val_acc=0.8327723682772743, acc=0.797091189599095
*** beta1=2.6, beta2=0.0, order=3, early_stop=200, lr=0.01, wd=0.0, alpha=0.5, std=0.005710981119618414 *** ave_acc=0.798648601366046 (best_acc=0.8066945318963274)
Time=0, beta1=2.6, beta2=0.0, order=3, early_stop=200, lr=0.01, wd=0.0001, alpha=0.5, val_acc=0.791980929199896, acc=0.7362722454720619
Time=1, beta1=2.6, beta2=0.0, order=3, early_stop=200, lr=0.01, wd=0.0001, alpha=0.5, val_acc=0.8269266439147752, acc=0.8112623426344499
Time=2, beta1=2.6, beta2=0.0, order=3, early_stop=200, lr=0.01, wd=0.0001, alpha=0.5, val_acc=0.828205556679049, acc=0.7937201986406757
Time=3, beta1=2.6, beta2=0.0, order=3, early_stop=200, lr=0.01, wd=0.0001, alpha=0.5, val_acc=0.7986286052037945, acc=0.7866371989072647
Time=4, beta1=2.6, beta2=0.0, order=3, early_stop=200, lr=0.01, wd=0.0001, alpha=0.5, val_acc=0.8233469086779205, acc=0.7677371987036685
*** beta1=2.6, beta2=0.0, order=3, early_stop=200, lr=0.01, wd=0.0001, alpha=0.5, std=0.005710981119618414 *** ave_acc=0.7791258368716241 (best_acc=0.8066945318963274)
Time=0, beta1=2.6, beta2=0.0, order=3, early_stop=200, lr=0.01, wd=0.01, alpha=0.5, val_acc=0.7571284758349274, acc=0.6494386010271661
Time=1, beta1=2.6, beta2=0.0, order=3, early_stop=200, lr=0.01, wd=0.01, alpha=0.5, val_acc=0.7666809395151395, acc=0.725719085933889
Time=2, beta1=2.6, beta2=0.0, order=3, early_stop=200, lr=0.01, wd=0.01, alpha=0.5, val_acc=0.7695613584328784, acc=0.6801523987110716
Time=3, beta1=2.6, beta2=0.0, order=3, early_stop=200, lr=0.01, wd=0.01, alpha=0.5, val_acc=0.7591223971149246, acc=0.7487332164989244
Time=4, beta1=2.6, beta2=0.0, order=3, early_stop=200, lr=0.01, wd=0.01, alpha=0.5, val_acc=0.7683925898647282, acc=0.7317903080611999
*** beta1=2.6, beta2=0.0, order=3, early_stop=200, lr=0.01, wd=0.01, alpha=0.5, std=0.005710981119618414 *** ave_acc=0.7071667220464501 (best_acc=0.8066945318963274)
Time=0, beta1=2.8, beta2=0.0, order=3, early_stop=200, lr=0.005, wd=0.0, alpha=0.5, val_acc=0.8401232153358872, acc=0.8013707587202836
Time=1, beta1=2.8, beta2=0.0, order=3, early_stop=200, lr=0.005, wd=0.0, alpha=0.5, val_acc=0.8282764809021667, acc=0.8026970002490386
Time=2, beta1=2.8, beta2=0.0, order=3, early_stop=200, lr=0.005, wd=0.0, alpha=0.5, val_acc=0.8254324532757413, acc=0.7998883689218441
Time=3, beta1=2.8, beta2=0.0, order=3, early_stop=200, lr=0.005, wd=0.0, alpha=0.5, val_acc=0.809233894240296, acc=0.7842928866207178
Time=4, beta1=2.8, beta2=0.0, order=3, early_stop=200, lr=0.005, wd=0.0, alpha=0.5, val_acc=0.8342661547514574, acc=0.8079522887837893
*** beta1=2.8, beta2=0.0, order=3, early_stop=200, lr=0.005, wd=0.0, alpha=0.5, std=0.007952754737702804 *** ave_acc=0.7992402606591347 (best_acc=0.7992402606591347)
Time=0, beta1=2.8, beta2=0.0, order=3, early_stop=200, lr=0.005, wd=0.0001, alpha=0.5, val_acc=0.8421914641692533, acc=0.8104935945959008
Time=1, beta1=2.8, beta2=0.0, order=3, early_stop=200, lr=0.005, wd=0.0001, alpha=0.5, val_acc=0.8067559312922653, acc=0.7830722657255677
Time=2, beta1=2.8, beta2=0.0, order=3, early_stop=200, lr=0.005, wd=0.0001, alpha=0.5, val_acc=0.7898859296610788, acc=0.7812853370853261
Time=3, beta1=2.8, beta2=0.0, order=3, early_stop=200, lr=0.005, wd=0.0001, alpha=0.5, val_acc=0.8374147991665305, acc=0.7777839013869178
Time=4, beta1=2.8, beta2=0.0, order=3, early_stop=200, lr=0.005, wd=0.0001, alpha=0.5, val_acc=0.7895545493184665, acc=0.731402894198996
*** beta1=2.8, beta2=0.0, order=3, early_stop=200, lr=0.005, wd=0.0001, alpha=0.5, std=0.007952754737702804 *** ave_acc=0.7768075985985416 (best_acc=0.7992402606591347)
Time=0, beta1=2.8, beta2=0.0, order=3, early_stop=200, lr=0.005, wd=0.01, alpha=0.5, val_acc=0.7717317721752096, acc=0.7507317777252234
Time=1, beta1=2.8, beta2=0.0, order=3, early_stop=200, lr=0.005, wd=0.01, alpha=0.5, val_acc=0.789355688577273, acc=0.7274920927673151
Time=2, beta1=2.8, beta2=0.0, order=3, early_stop=200, lr=0.005, wd=0.01, alpha=0.5, val_acc=0.7505579847271773, acc=0.698821955380943
Time=3, beta1=2.8, beta2=0.0, order=3, early_stop=200, lr=0.005, wd=0.01, alpha=0.5, val_acc=0.7786577811528339, acc=0.7266052694764925
Time=4, beta1=2.8, beta2=0.0, order=3, early_stop=200, lr=0.005, wd=0.01, alpha=0.5, val_acc=0.7661794544216239, acc=0.722554967349752
*** beta1=2.8, beta2=0.0, order=3, early_stop=200, lr=0.005, wd=0.01, alpha=0.5, std=0.007952754737702804 *** ave_acc=0.7252412125399452 (best_acc=0.7992402606591347)
Time=0, beta1=2.8, beta2=0.0, order=3, early_stop=200, lr=0.05, wd=0.0, alpha=0.5, val_acc=0.8200945456305118, acc=0.6960274717200507
Time=1, beta1=2.8, beta2=0.0, order=3, early_stop=200, lr=0.05, wd=0.0, alpha=0.5, val_acc=0.8203416829103523, acc=0.7390773368090154
Time=2, beta1=2.8, beta2=0.0, order=3, early_stop=200, lr=0.05, wd=0.0, alpha=0.5, val_acc=0.8297559895795463, acc=0.7609822194561445
Time=3, beta1=2.8, beta2=0.0, order=3, early_stop=200, lr=0.05, wd=0.0, alpha=0.5, val_acc=0.8111282269505075, acc=0.740715731265846
Time=4, beta1=2.8, beta2=0.0, order=3, early_stop=200, lr=0.05, wd=0.0, alpha=0.5, val_acc=0.822394289501109, acc=0.7761937177116667
*** beta1=2.8, beta2=0.0, order=3, early_stop=200, lr=0.05, wd=0.0, alpha=0.5, std=0.007952754737702804 *** ave_acc=0.7425992953925448 (best_acc=0.7992402606591347)
Time=0, beta1=2.8, beta2=0.0, order=3, early_stop=200, lr=0.05, wd=0.0001, alpha=0.5, val_acc=0.7880940818915579, acc=0.6253285356709903
