"1,0-nd","2,0-nd","3,0-nd"
108,916,0
1101,8608,44004
250,2370,0
1214,11186,61026
1498,11376,57957
1498,11752,59952
114,928,5409
105,0,0
105,0,0
107,914,0
105,0,0
115,938,0
275,2714,15921
1067,8032,41004
105,0,0
860,6592,33519
107,914,0
1160,8842,44424
1741,15424,82650
2130,17612,93237
511,4112,0
3222,28688,156831
1049,8762,46872
425,3400,18879
827,8342,47988
105,0,0
3398,30904,169287
440,4282,25623
656,4514,0
110,922,0
1016,7382,37248
509,4386,24717
346,2928,0
1385,12274,67320
105,0,0
511,4112,0
546,4584,25812
195,1896,0
2739,23940,129621
1311,12284,69381
541,4574,25809
1832,15858,86481
116,934,5412
541,4574,25809
173,1556,5409
1887,16176,86949
107,914,0
1314,12634,73197
1469,13938,77700
107,914,0
719,6058,31482
1005,8112,42558
105,0,0
105,0,0
511,4112,0
1185,9296,48951
772,6800,38079
3392,30542,167502
752,5536,28074
415,3380,0
214,0,0
824,5732,27198
1579,12616,65028
802,5646,27072
10,0,0
10,0,0
334,2554,0
706,5042,0
1260,10140,51372
2708,25238,136968
944,8004,42162
209,2090,0
2072,18838,103155
104,0,0
1160,9904,54123
104,0,0
175,2028,12546
1375,10880,54933
345,3174,0
204,2298,13788
104,0,0
2130,18702,100560
414,3626,0
1944,16128,84708
308,3236,0
104,0,0
2104,17350,91650
1147,9174,48837
414,3626,0
647,5900,33891
141,1688,0
104,0,0
503,4648,26829
820,6826,36282
639,5848,31887
192,2140,0
540,4820,27624
608,5486,29685
1800,16208,90909
104,0,0
869,7818,44154
971,8070,43551
104,0,0
794,8096,45867
1732,14680,78789
532,5558,32589
230,2352,0
104,0,0
286,3146,19107
107,1162,0
895,8158,45579
104,0,0
324,3404,20034
1185,10190,54918
111,1184,0
1466,11958,60870
1705,15532,85269
116,1208,0
104,0,0
991,8874,48282
302,3148,14244
330,3670,21309
330,3670,21309
321,3340,20202
324,3404,20034
1609,13716,72522
799,7448,40509
104,0,0
2117,18158,96765
538,5602,32730
330,3670,21309
2153,18114,96261
657,4762,0
1146,8972,45501
233,2648,16293
655,6000,33150
14,34,0
14,34,0
1001,7414,37059
551,0,0
1428,11592,60879
647,5216,0
406,0,0
1212,9898,51162
556,4608,0
2495,23142,127125
697,6310,34785
469,3712,17391
2513,23040,124422
426,3372,0
777,5854,28728
469,3712,17391
2495,21574,115512
3326,30540,164955
773,5888,28773
310,0,0
406,0,0
69,1072,0
69,1072,0
859,6826,34029
204,0,0
24,0,0
559,3624,0
1342,10176,51135
554,3606,0
2,0,0
127,0,0
406,0,0
101,1020,0
957,6802,0
406,0,0
209,2086,0
235,2226,0
1219,9356,47190
406,0,0
556,3616,0
986,7754,39756
310,0,0
44,0,0
574,3766,0
144,1530,0
311,0,0
2,0,0
1161,8880,43710
70,0,0
8,0,0
1001,7696,38601
4,4,0
4,4,0
4,4,0
583,3758,16884
776,6612,34269
1397,11088,57642
145,0,0
957,6802,0
957,6802,0
641,5514,27882
2055,16624,85869
2062,16860,87552
950,7974,41334
128,1196,0
128,1196,0
553,3604,0
553,3604,0
2017,19132,104715
2761,25294,138594
528,4772,25194
913,7754,40392
2135,19784,109107
1993,16942,90096
2909,26258,141153
528,4772,25194
62,0,0
406,0,0
310,0,0
310,0,0
40,0,0
1445,12018,61818
46,490,3045
885,7848,42939
663,4982,25110
663,4982,25110
46,490,3045
46,490,3045
119,1388,0
40,0,0
350,2946,0
750,5602,27297
40,0,0
1240,9680,47691
1384,11128,56322
1809,14530,74484
779,6654,34404
786,6686,34455
1338,10282,50991
1794,15250,79398
649,4730,0
927,7668,40161
17,66,0
1132,8694,44952
163,1630,0
2283,19370,102036
218,2186,12987
566,3644,16590
566,3644,16590
566,3644,16590
176,2000,12183
176,2000,12183
696,5060,0
126,0,0
551,0,0
406,0,0
145,0,0
136,0,0
551,0,0
551,0,0
861,6070,0
1095,8164,40254
551,0,0
996,7696,38601
592,3964,0
551,0,0
551,0,0
551,0,0
551,0,0
1020,7550,36624
668,5040,25521
1678,13452,68904
989,7266,36960
551,0,0
1202,9414,46344
551,0,0
551,0,0
551,0,0
659,4930,24321
1872,16174,83892
551,0,0
1575,12528,63117
1708,13684,70473
551,0,0
592,3964,0
894,7198,36678
553,3604,0
551,0,0
630,4512,0
2206,18650,99315
1006,7528,38685
1200,8820,42633
792,5618,0
640,4576,21828
1431,11414,56532
694,4978,0
567,3748,0
621,4394,0
630,4512,0
816,5800,27573
1267,9270,45618
696,5060,0
630,4458,21339
551,0,0
551,0,0
1387,10968,56715
1193,10064,53895
672,4954,24492
1739,14244,74442
573,3730,0
551,0,0
1276,9298,45651
551,0,0
551,0,0
555,3610,0
957,6802,0
553,3604,0
1227,9696,51300
1186,9136,45699
551,0,0
551,0,0
1145,9162,45351
1057,8138,40242
551,0,0
1295,10654,55062
1243,9776,49587
1078,8168,40305
839,6436,32334
1003,7322,34800
690,4968,24663
694,4978,0
1198,8818,42633
960,6806,0
551,0,0
792,5618,0
792,5618,0
1672,13770,71385
876,6976,35946
957,6802,0
1544,12148,61776
551,0,0
1255,9674,47979
1491,12602,64332
694,4978,0
958,7170,36408
551,0,0
1324,10882,55656
551,0,0
1323,10188,50790
812,6376,31374
551,0,0
1484,11912,61845
557,3618,0
553,3604,0
1509,12804,68244
551,0,0
694,4978,0
755,5680,0
621,4394,0
551,0,0
696,5060,0
551,0,0
551,0,0
551,0,0
551,0,0
551,0,0
551,0,0
551,0,0
755,5680,0
940,6876,34164
551,0,0
551,0,0
638,4502,21501
551,0,0
775,5944,30705
964,6828,32175
551,0,0
551,0,0
621,4394,0
1385,10762,53637
1334,11092,56997
876,6976,35946
551,0,0
957,6802,0
551,0,0
774,5834,28425
551,0,0
1053,7808,37992
1098,8174,40260
551,0,0
560,3652,0
551,0,0
551,0,0
551,0,0
839,6436,32334
551,0,0
551,0,0
752,5720,27627
1100,8178,39267
551,0,0
551,0,0
551,0,0
551,0,0
1508,11286,56103
551,0,0
551,0,0
797,5634,27054
1495,12002,62202
957,6802,0
551,0,0
795,5622,0
960,6808,32151
1388,10636,53775
551,0,0
551,0,0
755,5680,0
590,4090,0
904,6354,30870
630,4512,0
551,0,0
551,0,0
839,6516,31644
796,5624,27042
551,0,0
1503,12058,62370
1427,10800,54279
1604,13112,68502
1006,7528,38685
1763,13888,71349
551,0,0
855,6832,35811
551,0,0
551,0,0
551,0,0
1012,7930,41844
551,0,0
551,0,0
551,0,0
694,4978,0
576,3786,17130
551,0,0
560,3634,0
687,4962,0
1201,9212,44682
551,0,0
1274,9298,45654
551,0,0
861,6070,0
1382,10932,55266
694,4978,0
694,4978,0
696,5060,0
704,5084,25239
1667,13620,70851
1840,15930,84822
694,4978,0
551,0,0
551,0,0
958,7920,41316
1167,8892,43716
630,4512,0
551,0,0
1343,11560,62433
551,0,0
551,0,0
1267,10090,51828
861,6070,0
985,7214,34914
614,4350,0
699,5064,0
551,0,0
553,3604,0
1750,14422,74640
560,3632,0
989,7266,36960
694,4978,0
694,4978,0
1365,11336,57801
551,0,0
2126,17582,91623
890,6972,34275
1100,8178,39267
551,0,0
551,0,0
551,0,0
551,0,0
551,0,0
1524,12736,65820
1049,7838,38283
1084,8198,39693
646,4616,22650
1638,13460,69348
649,4730,0
690,4968,24663
1296,10474,53019
1032,7922,39267
551,0,0
1086,8192,40329
551,0,0
551,0,0
551,0,0
694,4978,0
580,3754,16884
694,4978,0
1494,11888,59463
849,6686,33960
1405,11598,60033
1532,12408,62739
618,4360,21036
551,0,0
553,3604,0
551,0,0
757,5966,30627
755,5848,29763
551,0,0
1381,11204,56478
1578,13552,71166
905,7124,36441
1213,9328,45786
1331,10594,52089
887,7284,37395
981,6888,32265
861,6070,0
551,0,0
861,6070,0
755,5680,0
614,4350,0
957,6802,0
1032,8368,43971
553,3604,0
551,0,0
580,3756,16944
694,4978,0
1511,12114,62538
1179,9088,44367
617,4354,0
555,3610,0
551,0,0
551,0,0
755,5848,29763
551,0,0
957,6802,0
551,0,0
1511,12114,62538
773,5888,28773
614,4350,0
862,6770,33549
704,5084,25239
1142,8888,46791
1504,12072,62433
703,5028,23784
551,0,0
551,0,0
551,0,0
551,0,0
805,6072,29976
792,5618,0
551,0,0
1360,10454,51693
551,0,0
1238,9620,48915
1142,9154,47262
551,0,0
704,5084,25239
551,0,0
551,0,0
843,6680,33444
792,5618,0
551,0,0
551,0,0
551,0,0
551,0,0
1684,13562,70317
773,5888,28773
551,0,0
551,0,0
957,6802,0
1093,8162,40254
551,0,0
551,0,0
551,0,0
898,7694,41838
796,5624,27042
551,0,0
659,4838,23754
551,0,0
553,3604,0
1080,9122,48024
839,6436,32334
696,5060,0
551,0,0
1059,8122,40515
1504,12072,62433
1506,12834,67077
1510,12328,63564
957,6802,0
701,5004,23706
636,4614,0
551,0,0
802,6330,32700
1991,16100,82890
738,5456,26613
1471,11348,57180
556,3614,0
551,0,0
1306,11014,57357
960,6808,32151
1023,7828,39849
551,0,0
551,0,0
551,0,0
924,6818,34500
1161,8880,43710
950,7092,36165
1245,10234,53184
551,0,0
652,4622,22404
1198,8818,42633
553,3604,0
694,4978,0
696,5060,0
551,0,0
551,0,0
551,0,0
957,6802,0
551,0,0
1045,7784,38193
1226,9564,46782
1006,7528,38685
621,4394,0
551,0,0
958,6802,0
17,0,0
145,1244,6972
541,4686,26481
20,54,39
330,2542,13572
330,2542,13572
330,2542,13572
10,0,0
561,6146,36912
245,2930,18099
241,0,0
346,3646,21366
22,0,0
412,3212,15600
412,3212,15600
412,3212,15600
162,1560,0
145,0,0
145,0,0
44,0,0
1,0,0
1,0,0
68,0,0
310,0,0
60,0,0
534,4598,23802
406,0,0
154,1516,0
670,5942,30870
406,0,0
372,3100,0
63,0,0
310,0,0
647,5216,0
223,2204,0
136,0,0
951,8424,44514
103,1142,0
312,2470,0
312,2470,0
81,912,0
81,912,0
241,0,0
19,50,0
406,0,0
405,3438,18684
316,2482,0
395,3392,18576
316,2482,0
241,0,0
136,0,0
649,5218,0
409,3204,0
204,0,0
5,0,0
241,0,0
335,3288,18513
860,7844,42252
249,2046,0
43,0,0
64,0,0
310,0,0
10,0,0
88,0,0
639,5640,30300
209,2348,0
209,2348,0
234,2288,13230
112,1200,0
329,2998,0
88,0,0
88,0,0
494,4182,0
353,3216,17382
377,4072,23742
398,3450,0
121,1278,7191
88,0,0
350,3536,21087
88,0,0
329,2998,0
182,2040,12264
88,0,0
4,0,0
126,0,0
527,4566,0
310,0,0
413,3214,15600
653,5228,15600
413,3214,15600
130,1202,0
138,1362,0
138,1362,0
32,0,0
29,0,0
647,5706,29688
240,2648,15057
105,1316,8031
29,0,0
431,3462,17133
886,7680,40584
406,0,0
975,8322,44592
1487,14396,79446
466,3830,0
406,0,0
500,4206,0
406,0,0
768,6582,34236
406,0,0
408,3202,0
1161,9762,51111
508,4544,24018
784,6558,34569
406,0,0
647,5216,0
406,0,0
406,0,0
466,3830,0
408,3202,0
406,0,0
474,4090,0
603,5334,28722
552,4580,0
1103,9680,50151
746,6638,35262
410,3208,0
551,4658,0
556,4608,22764
406,0,0
406,0,0
610,5278,0
406,0,0
474,4090,0
406,0,0
845,7692,41844
406,0,0
647,5216,0
536,4594,23778
491,4212,0
891,8234,43806
720,5902,30366
527,4566,0
852,7028,37170
561,4630,22794
527,4566,0
718,5670,0
727,5712,29133
504,4328,0
406,0,0
918,8364,45189
413,3232,0
549,4576,0
800,7854,43545
406,0,0
406,0,0
772,7038,36990
406,0,0
782,6316,33267
406,0,0
406,0,0
820,7540,40182
527,4566,0
533,4578,8163
406,0,0
406,0,0
422,3262,15678
406,0,0
532,4394,0
406,0,0
504,4328,0
863,7128,37725
527,4566,0
527,4566,0
406,0,0
406,0,0
549,4576,0
431,3462,17133
415,3222,0
406,0,0
410,3208,0
610,5278,0
416,3260,0
432,3346,15945
779,6628,34305
406,0,0
647,5216,0
406,0,0
406,0,0
406,0,0
406,0,0
406,0,0
532,4582,23766
408,3202,0
647,5758,30765
459,3932,0
406,0,0
527,4566,0
406,0,0
445,3796,0
406,0,0
408,3202,0
536,4594,23778
598,5334,28311
647,5216,0
745,6086,31731
732,6228,32214
409,3204,0
406,0,0
412,3216,0
1036,9562,51171
535,4610,23844
408,3202,0
406,0,0
527,4566,0
474,4090,0
406,0,0
408,3202,0
610,5450,0
919,7788,39534
406,0,0
406,0,0
716,5668,0
406,0,0
610,5278,0
790,6578,34590
566,4718,15678
779,6628,34305
406,0,0
491,4212,0
430,3286,0
917,8044,42897
406,0,0
406,0,0
457,3750,0
406,0,0
406,0,0
708,6406,34029
144,0,0
2,0,0
121,0,0
445,4094,0
145,0,0
204,0,0
1,0,0
1,0,0
204,0,0
160,1570,0
15,0,0
136,0,0
187,1942,10755
22,0,0
145,0,0
145,0,0
1,0,0
1,0,0
153,1496,0
314,2476,0
22,0,0
22,0,0
193,2264,0
312,2470,0
312,2470,0
262,2554,0
1,0,0
1,0,0
399,3902,22338
53,0,0
151,1860,0
179,1926,0
53,0,0
126,0,0
552,4998,27903
121,0,0
253,2054,10524
253,2054,10524
310,0,0
241,0,0
136,0,0
358,3486,0
145,0,0
145,0,0
189,1936,0
145,0,0
145,0,0
455,3926,0
455,3926,0
145,0,0
145,0,0
145,0,0
145,0,0
145,0,0
145,0,0
145,0,0
145,0,0
288,2834,0
215,2250,0
145,0,0
455,3926,0
145,0,0
145,0,0
145,0,0
145,0,0
145,0,0
429,4768,28878
62,0,0
1,0,0
1,0,0
310,0,0
241,0,0
126,0,0
8,0,0
8,0,0
8,0,0
8,0,0
1,0,0
1,0,0
584,5338,29703
70,0,0
70,0,0
213,2168,0
70,0,0
70,0,0
70,0,0
114,1270,0
77,818,0
204,0,0
143,0,0
310,0,0
8,16,0
8,16,0
79,722,3459
186,1850,9822
116,1092,5970
116,1092,5970
9,0,0
136,0,0
126,0,0
310,0,0
94,0,0
98,0,0
241,0,0
20,74,0
98,0,0
449,3958,22164
238,2422,14157
240,2510,0
98,0,0
224,2322,0
98,0,0
98,0,0
310,3282,19548
190,2172,0
196,2138,0
98,0,0
98,0,0
234,2488,0
146,1674,10083
514,4546,0
21,0,0
136,0,0
136,0,0
891,7922,43623
136,0,0
446,3828,0
136,0,0
136,0,0
652,6126,35112
173,1890,0
136,0,0
136,0,0
136,0,0
136,0,0
138,1362,0
136,0,0
196,1990,0
136,0,0
136,0,0
138,1362,0
136,0,0
136,0,0
136,0,0
136,0,0
136,0,0
136,0,0
136,0,0
136,0,0
136,0,0
312,2470,0
312,2470,0
436,3662,0
310,0,0
245,0,0
310,0,0
19,0,0
260,2096,0
19,0,0
24,0,0
322,2516,13542
1,0,0
1,0,0
126,0,0
3,0,0
328,2602,0
243,2018,0
243,2018,0
126,0,0
349,2898,15786
14,0,0
74,730,0
458,4152,22140
458,4152,22140
241,0,0
60,0,0
204,0,0
89,1130,0
211,2266,0
378,3358,0
332,3632,20781
68,0,0
106,1090,0
310,0,0
94,0,0
347,2998,0
310,0,0
241,0,0
477,4064,22305
216,0,0
317,2496,0
22,0,0
209,2090,0
204,0,0
20,136,0
20,136,0
328,2602,0
63,0,0
63,0,0
63,0,0
323,2506,13506
323,2506,13506
384,3136,13506
323,2506,13506
67,648,0
60,0,0
87,784,4590
60,0,0
60,0,0
60,0,0
186,1824,0
574,5176,29235
60,0,0
60,0,0
301,2646,0
60,0,0
1,0,0
1,0,0
204,0,0
47,0,0
6,0,0
126,0,0
179,2018,0
539,5100,27891
241,0,0
447,3628,18834
509,4466,24585
60,720,0
154,1512,0
338,2786,0
241,0,0
666,5630,30207
666,5630,30207
143,0,0
44,0,0
47,482,0
44,0,0
44,0,0
44,0,0
356,2948,0
799,7040,38457
121,0,0
121,0,0
121,0,0
432,3834,0
362,3382,0
128,1380,8163
128,1380,8163
121,0,0
121,0,0
141,1526,0
121,0,0
12,0,0
67,0,0
210,2446,0
67,0,0
339,3376,12219
252,2360,12219
139,1278,0
564,4568,24165
204,0,0
310,0,0
79,0,0
241,0,0
631,5984,33999
298,3084,0
24,0,0
26,160,0
244,2018,0
262,2018,0
4,0,0
498,4294,23694
448,4100,22050
997,9070,50172
241,0,0
241,0,0
241,0,0
282,2378,0
241,0,0
241,0,0
241,0,0
260,2142,0
241,0,0
241,0,0
241,0,0
551,4484,0
353,3074,0
241,0,0
645,5490,29799
253,2120,0
241,0,0
241,0,0
384,3392,0
241,0,0
241,0,0
242,0,0
241,0,0
241,0,0
241,0,0
241,0,0
241,0,0
241,0,0
285,2382,0
241,0,0
241,0,0
241,0,0
448,4100,22050
241,0,0
241,0,0
241,0,0
335,3022,0
241,0,0
241,0,0
559,4524,0
126,0,0
149,1396,0
1,0,0
1,0,0
310,0,0
17,0,0
79,0,0
310,0,0
94,0,0
310,0,0
204,0,0
236,2504,0
236,2504,0
32,0,0
10,0,0
154,1446,0
17,0,0
10,0,0
310,0,0
310,0,0
1,0,0
1,0,0
310,0,0
460,3938,21963
122,1286,0
101,1020,0
5,0,0
24,0,0
186,1850,9822
310,0,0
9,0,0
334,2554,0
404,3474,0
514,4546,0
310,0,0
310,0,0
310,0,0
310,0,0
310,0,0
310,0,0
310,0,0
310,0,0
396,3186,16875
310,0,0
310,0,0
310,0,0
310,0,0
310,0,0
310,0,0
310,0,0
404,3474,0
310,0,0
372,3100,0
310,0,0
310,0,0
310,0,0
310,0,0
310,0,0
319,0,0
310,0,0
310,0,0
310,0,0
310,0,0
310,0,0
310,0,0
310,0,0
351,2830,0
310,0,0
340,2566,123
310,0,0
310,0,0
310,0,0
310,0,0
310,0,0
501,4300,23697
310,0,0
310,0,0
310,0,0
310,0,0
334,2554,0
310,0,0
310,0,0
310,0,0
436,3662,0
143,0,0
4,4,0
4,4,0
4,4,0
31,100,123
31,100,123
1,0,0
1,0,0
24,0,0
204,0,0
159,1644,9135
159,1644,9135
146,1354,0
24,0,0
204,0,0
29,0,0
54,412,1905
54,412,1905
9,0,0
155,1462,0
142,1336,6636
94,0,0
94,0,0
94,0,0
204,0,0
1,0,0
1,0,0
158,1596,0
12,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
23,0,0
8,0,0
41,0,0
184,1848,9822
23,0,0
204,0,0
17,0,0
2,0,0
143,0,0
2,0,0
28,0,0
10,0,0
85,0,0
289,3090,0
192,1836,10230
204,0,0
204,0,0
62,0,0
41,0,0
204,0,0
3,0,0
143,0,0
1,0,0
1,0,0
204,0,0
133,1220,0
126,0,0
19,0,0
1,0,0
1,0,0
143,0,0
10,0,0
79,0,0
222,2286,0
204,0,0
21,128,0
21,128,0
14,0,0
143,0,0
143,0,0
126,0,0
126,0,0
1,0,0
1,0,0
4,0,0
126,0,0
7,0,0
1,0,0
1,0,0
126,0,0
204,0,0
204,0,0
204,0,0
204,0,0
