"0,1-nd","2,1-nd","3,1-nd"
308972,1210,39675
308253,436,9015
308037,308,5180
307820,56,0
307820,56,0
308242,492,13865
308283,568,8905
308283,568,8905
308283,568,8905
308329,606,10145
308263,514,8265
309162,1288,48395
308812,1046,30695
308497,830,22115
308465,788,22945
309707,2058,90965
308185,384,0
308451,638,15070
308390,614,12300
308634,888,24730
308185,384,0
308185,384,0
309645,2452,140915
308855,1368,50965
308680,874,21155
308185,384,0
308620,794,20290
308857,1176,38590
308479,884,19320
310452,3054,190790
308709,1096,33410
308327,544,10015
308496,648,13045
308249,500,8080
310470,3178,190135
309165,1758,79970
308439,814,17900
308531,826,21175
308735,846,24330
308329,606,10145
309763,2504,157170
308937,1212,39985
309891,2478,130100
309003,1236,46285
308513,656,13055
308185,384,0
308423,730,14990
308289,550,11440
308539,902,25045
308480,724,18690
308504,912,20815
308235,482,7240
308189,386,0
308661,1114,29045
308185,384,0
308797,1040,29120
308499,810,17065
308931,1156,40190
308577,962,28730
308837,1142,46630
308641,962,26740
308392,596,13030
308840,1358,42305
308185,384,0
308330,554,10045
311514,3686,250400
309700,2310,133505
308454,840,17115
308423,628,14045
309446,1700,69505
309212,1706,73305
308586,770,18030
308404,628,12330
308285,478,8240
308531,798,20995
308214,438,6835
309042,1478,51315
308657,1168,32735
308292,574,8505
308328,652,12015
308540,896,24500
308323,534,10350
308649,1034,31630
309402,1726,69520
308307,526,10320
309489,1742,89270
308185,384,0
308210,406,5290
308378,598,13820
309279,992,27320
308185,384,0
308506,664,13130
308801,1292,41395
308411,754,15215
308281,496,8475
308640,1122,27490
308185,384,0
308470,738,17080
308759,1094,26260
308322,542,10015
311305,3762,233690
308329,606,10145
308783,1230,44700
308815,982,29420
308185,384,0
308189,394,5125
308703,882,23435
308570,994,30265
308189,394,5125
309062,1196,51430
308390,614,12300
308625,980,25525
308955,1234,39660
308626,1078,30440
308736,960,26860
308185,384,0
308274,490,8515
308193,402,5180
308187,384,0
307947,300,5320
308078,442,9190
307922,218,0
307817,80,645
307780,0,0
307780,0,0
307781,4,0
308233,482,8460
307922,218,0
307947,300,5320
307781,4,0
307935,176,0
307780,0,0
308002,362,6060
308096,530,11730
307788,14,0
307784,10,0
307803,36,0
307858,124,0
307781,4,0
307877,110,0
307947,300,5320
307798,40,135
307924,188,0
307780,0,0
307780,0,0
307780,0,0
308089,260,0
307780,0,0
307780,0,0
307780,0,0
307780,0,0
307780,0,0
307897,154,3360
307982,320,5290
308221,354,7840
307780,0,0
307780,0,0
307820,70,370
307780,0,0
307780,0,0
307888,196,3425
307780,0,0
308475,618,19375
307781,4,0
307780,0,0
308320,500,12535
308131,510,11360
307781,4,0
308089,320,6460
308009,264,4250
307780,0,0
307858,140,0
308235,452,9660
308286,542,17300
307869,164,2130
307922,218,0
307795,32,0
307849,116,0
307858,140,0
307924,188,0
307862,152,1895
307780,0,0
307780,0,0
307901,156,2785
307801,36,0
307780,0,0
307780,0,0
307780,0,0
307783,8,0
307781,4,0
308480,668,21190
307780,0,0
307780,0,0
307780,0,0
308068,410,6890
307919,164,2555
307922,218,0
307780,0,0
308120,418,10680
307931,142,1975
307780,0,0
309352,1610,78955
307922,218,0
308190,402,8010
307780,0,0
307780,0,0
308044,446,8540
307780,0,0
307785,10,0
307781,4,0
